MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
51179;1999;01;01;;0.138633;0.000096;0.295943;0.000075;;0.7164761;0.0000097;0.0009738;0.0000234;;;;;;0.000061;0.000034;-0.000110;0.000026
51180;1999;01;02;;0.137799;0.000097;0.293751;0.000076;;0.7156376;0.0000074;0.0008880;0.0000234;;;;;;0.000059;0.000035;-0.000096;0.000026
51181;1999;01;03;;0.137628;0.000097;0.291851;0.000076;;0.7148191;0.0000065;0.0008605;0.0000234;;;;;;0.000056;0.000035;-0.000081;0.000026
51182;1999;01;04;;0.137342;0.000098;0.290390;0.000077;;0.7139496;0.0000082;0.0008798;0.0000234;;;;;;0.000053;0.000035;-0.000067;0.000027
51183;1999;01;05;;0.136803;0.000099;0.289155;0.000077;;0.7130914;0.0000085;0.0008935;0.0000233;;;;;;0.000051;0.000036;-0.000052;0.000027
51184;1999;01;06;;0.136361;0.000099;0.287933;0.000077;;0.7122704;0.0000042;0.0009693;0.0000232;;;;;;0.000048;0.000036;-0.000038;0.000027
51185;1999;01;07;;0.136269;0.000100;0.287249;0.000078;;0.7112291;0.0000060;0.0010658;0.0000231;;;;;;0.000041;0.000036;-0.000025;0.000028
51186;1999;01;08;;0.136170;0.000101;0.286830;0.000078;;0.7101021;0.0000083;0.0010857;0.0000230;;;;;;0.000033;0.000037;-0.000013;0.000028
51187;1999;01;09;;0.135867;0.000101;0.286432;0.000079;;0.7090333;0.0000065;0.0010715;0.0000229;;;;;;0.000025;0.000037;-0.000001;0.000029
51188;1999;01;10;;0.135018;0.000101;0.286035;0.000079;;0.7079651;0.0000063;0.0010519;0.0000228;;;;;;0.000017;0.000038;0.000012;0.000029
51189;1999;01;11;;0.133656;0.000102;0.285211;0.000079;;0.7069068;0.0000077;0.0010021;0.0000227;;;;;;0.000008;0.000038;0.000024;0.000030
