MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
55562;2011;01;01;;0.130959;0.000063;0.203165;0.000067;;-0.1405619;0.0000087;0.0002813;0.0000131;;;;;;0.000179;0.000058;-0.000227;0.000045
55563;2011;01;02;;0.127715;0.000063;0.202326;0.000067;;-0.1407870;0.0000079;0.0002121;0.0000131;;;;;;0.000197;0.000058;-0.000230;0.000045
55564;2011;01;03;;0.124413;0.000063;0.201437;0.000067;;-0.1409510;0.0000055;0.0001566;0.0000132;;;;;;0.000214;0.000057;-0.000232;0.000044
55565;2011;01;04;;0.121377;0.000063;0.200654;0.000067;;-0.1411264;0.0000030;0.0002032;0.0000132;;;;;;0.000231;0.000056;-0.000235;0.000044
55566;2011;01;05;;0.117734;0.000063;0.200388;0.000067;;-0.1413407;0.0000100;0.0002471;0.0000133;;;;;;0.000228;0.000056;-0.000245;0.000044
55567;2011;01;06;;0.113744;0.000063;0.199890;0.000067;;-0.1416521;0.0000153;0.0003623;0.0000133;;;;;;0.000218;0.000056;-0.000258;0.000044
55568;2011;01;07;;0.110096;0.000063;0.199324;0.000068;;-0.1420692;0.0000053;0.0004851;0.0000133;;;;;;0.000209;0.000056;-0.000270;0.000044
55569;2011;01;08;;0.106247;0.000063;0.198743;0.000068;;-0.1425732;0.0000074;0.0005516;0.0000133;;;;;;0.000204;0.000055;-0.000277;0.000044
55570;2011;01;09;;0.103002;0.000063;0.197677;0.000068;;-0.1431340;0.0000092;0.0005781;0.0000133;;;;;;0.000201;0.000055;-0.000282;0.000045
55571;2011;01;10;;0.100999;0.000063;0.196737;0.000068;;-0.1437331;0.0000065;0.0005890;0.0000133;;;;;;0.000198;0.000055;-0.000287;0.000045
55572;2011;01;11;;0.099966;0.000063;0.196028;0.000068;;-0.1443309;0.0000027;0.0005829;0.0000133;;;;;;0.000194;0.000054;-0.000291;0.000045
55573;2011;01;12;;0.099121;0.000063;0.196001;0.000068;;-0.1449331;0.0000226;0.0005607;0.0000133;;;;;;0.000300;0.000054;-0.000287;0.000045
55574;2011;01;13;;0.097707;0.000063;0.196138;0.000068;;-0.1454783;0.0000379;0.0005278;0.0000133;;;;;;0.000435;0.000055;-0.000281;0.000046
55575;2011;01;14;;0.095398;0.000063;0.196117;0.000068;;-0.1459545;0.0000124;0.0004414;0.0000132;;;;;;0.000569;0.000055;-0.000275;0.000046
55576;2011;01;15;;0.092370;0.000063;0.195878;0.000068;;-0.1463280;0.0000083;0.0003428;0.0000132;;;;;;0.000503;0.000055;-0.000281;0.000047
55577;2011;01;16;;0.088884;0.000063;0.195837;0.000068;;-0.1466479;0.0000098;0.0002888;0.0000132;;;;;;0.000360;0.000056;-0.000292;0.000047
55578;2011;01;17;;0.084953;0.000063;0.195543;0.000068;;-0.1469091;0.0000079;0.0002484;0.0000132;;;;;;0.000217;0.000056;-0.000303;0.000047
55579;2011;01;18;;0.081304;0.000063;0.195001;0.000067;;-0.1471746;0.0000055;0.0003402;0.0000132;;;;;;0.000075;0.000056;-0.000314;0.000047
55580;2011;01;19;;0.077908;0.000063;0.194827;0.000067;;-0.1475565;0.0000036;0.0004163;0.0000132;;;;;;0.000089;0.000056;-0.000393;0.000047
55581;2011;01;20;;0.074672;0.000063;0.194828;0.000067;;-0.1480615;0.0000037;0.0005909;0.0000133;;;;;;0.000129;0.000056;-0.000361;0.000047
55582;2011;01;21;;0.071357;0.000063;0.194739;0.000067;;-0.1487896;0.0000044;0.0008407;0.0000132;;;;;;0.000175;0.000057;-0.000300;0.000047
55583;2011;01;22;;0.067931;0.000063;0.194482;0.000068;;-0.1497184;0.0000082;0.0010305;0.0000132;;;;;;0.000174;0.000057;-0.000277;0.000047
55584;2011;01;23;;0.064827;0.000064;0.194605;0.000068;;-0.1508300;0.0000125;0.0011396;0.0000132;;;;;;0.000156;0.000058;-0.000266;0.000047
55585;2011;01;24;;0.061692;0.000064;0.194921;0.000068;;-0.1520081;0.0000103;0.0011102;0.0000133;;;;;;0.000137;0.000058;-0.000256;0.000047
55586;2011;01;25;;0.058609;0.000064;0.195582;0.000068;;-0.1530958;0.0000052;0.0009949;0.0000133;;;;;;0.000118;0.000058;-0.000246;0.000047
55587;2011;01;26;;0.055408;0.000064;0.196337;0.000068;;-0.1540122;0.0000046;0.0008030;0.0000134;;;;;;0.000144;0.000059;-0.000230;0.000047
55588;2011;01;27;;0.052335;0.000064;0.197310;0.000068;;-0.1547148;0.0000051;0.0005899;0.0000134;;;;;;0.000180;0.000059;-0.000213;0.000048
55589;2011;01;28;;0.049358;0.000064;0.198111;0.000068;;-0.1552211;0.0000057;0.0003578;0.0000134;;;;;;0.000217;0.000059;-0.000195;0.000048
55590;2011;01;29;;0.047472;0.000064;0.198614;0.000068;;-0.1555766;0.0000084;0.0003126;0.0000134;;;;;;0.000299;0.000060;-0.000214;0.000049
55591;2011;01;30;;0.046055;0.000064;0.199363;0.000068;;-0.1558746;0.0000090;0.0002644;0.0000135;;;;;;0.000349;0.000060;-0.000251;0.000049
55592;2011;01;31;;0.045108;0.000064;0.199778;0.000068;;-0.1561888;0.0000067;0.0003226;0.0000135;;;;;;0.000255;0.000060;-0.000300;0.000049
55593;2011;02;01;;0.044446;0.000064;0.200635;0.000068;;-0.1565741;0.0000036;0.0003970;0.0000136;;;;;;0.000160;0.000060;-0.000349;0.000049
55594;2011;02;02;;0.043737;0.000064;0.201480;0.000068;;-0.1570585;0.0000059;0.0005690;0.0000136;;;;;;0.000092;0.000060;-0.000337;0.000050
55595;2011;02;03;;0.042881;0.000064;0.202305;0.000068;;-0.1577068;0.0000194;0.0006870;0.0000137;;;;;;0.000002;0.000060;-0.000310;0.000050
55596;2011;02;04;;0.041602;0.000064;0.202613;0.000068;;-0.1584274;0.0000094;0.0007851;0.0000137;;;;;;0.000061;0.000060;-0.000283;0.000050
55597;2011;02;05;;0.040235;0.000064;0.202880;0.000067;;-0.1592139;0.0000080;0.0008092;0.0000137;;;;;;0.000099;0.000060;-0.000272;0.000051
55598;2011;02;06;;0.039049;0.000063;0.203345;0.000067;;-0.1599990;0.0000092;0.0007780;0.0000137;;;;;;0.000110;0.000060;-0.000267;0.000051
55599;2011;02;07;;0.038219;0.000063;0.204293;0.000067;;-0.1607575;0.0000083;0.0007354;0.0000138;;;;;;0.000121;0.000060;-0.000262;0.000051
55600;2011;02;08;;0.037562;0.000063;0.205738;0.000067;;-0.1614635;0.0000073;0.0006693;0.0000138;;;;;;0.000132;0.000059;-0.000257;0.000051
55601;2011;02;09;;0.036289;0.000063;0.207354;0.000067;;-0.1620869;0.0000431;0.0005930;0.0000138;;;;;;0.000120;0.000059;-0.000312;0.000051
55602;2011;02;10;;0.034283;0.000063;0.208674;0.000067;;-0.1626188;0.0000434;0.0005157;0.0000139;;;;;;0.000107;0.000059;-0.000324;0.000051
55603;2011;02;11;;0.032074;0.000063;0.209600;0.000067;;-0.1630842;0.0000134;0.0004241;0.0000139;;;;;;0.000111;0.000058;-0.000252;0.000050
55604;2011;02;12;;0.030655;0.000063;0.210516;0.000066;;-0.1634765;0.0000087;0.0003772;0.0000139;;;;;;0.000126;0.000057;-0.000288;0.000049
55605;2011;02;13;;0.029416;0.000063;0.211613;0.000066;;-0.1638268;0.0000156;0.0003597;0.0000139;;;;;;0.000142;0.000056;-0.000373;0.000049
55606;2011;02;14;;0.027752;0.000063;0.212398;0.000066;;-0.1641900;0.0000139;0.0004118;0.0000140;;;;;;0.000158;0.000055;-0.000457;0.000048
55607;2011;02;15;;0.026118;0.000063;0.213089;0.000066;;-0.1646675;0.0000079;0.0005640;0.0000140;;;;;;0.000174;0.000054;-0.000542;0.000047
55608;2011;02;16;;0.024923;0.000063;0.214428;0.000066;;-0.1653742;0.0000065;0.0008510;0.0000141;;;;;;0.000168;0.000053;-0.000556;0.000046
55609;2011;02;17;;0.023469;0.000063;0.216313;0.000066;;-0.1663660;0.0000062;0.0011584;0.0000141;;;;;;0.000156;0.000052;-0.000550;0.000044
55610;2011;02;18;;0.021796;0.000063;0.217912;0.000066;;-0.1676491;0.0000059;0.0014004;0.0000141;;;;;;0.000144;0.000051;-0.000545;0.000043
55611;2011;02;19;;0.020058;0.000063;0.218973;0.000066;;-0.1691320;0.0000088;0.0015975;0.0000141;;;;;;0.000119;0.000050;-0.000517;0.000042
55612;2011;02;20;;0.018543;0.000063;0.220071;0.000066;;-0.1707632;0.0000106;0.0016650;0.0000141;;;;;;0.000090;0.000050;-0.000482;0.000041
55613;2011;02;21;;0.016808;0.000063;0.220756;0.000066;;-0.1723881;0.0000082;0.0015498;0.0000142;;;;;;0.000061;0.000049;-0.000446;0.000040
