MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
51910;2001;01;01;;-0.073506;0.000061;0.398095;0.000048;;0.0931626;0.0000107;0.0006630;0.0000131;;;;;;0.000150;0.000028;-0.000109;0.000030
51911;2001;01;02;;-0.072651;0.000061;0.399806;0.000048;;0.0924546;0.0000070;0.0007596;0.0000131;;;;;;0.000141;0.000028;-0.000092;0.000031
51912;2001;01;03;;-0.071557;0.000061;0.401864;0.000047;;0.0916573;0.0000034;0.0008515;0.0000131;;;;;;0.000132;0.000028;-0.000074;0.000031
51913;2001;01;04;;-0.071024;0.000061;0.403840;0.000047;;0.0907195;0.0000084;0.0008969;0.0000132;;;;;;0.000149;0.000029;-0.000084;0.000031
51914;2001;01;05;;-0.070723;0.000060;0.405333;0.000047;;0.0897667;0.0000163;0.0008872;0.0000132;;;;;;0.000174;0.000029;-0.000103;0.000031
51915;2001;01;06;;-0.070378;0.000060;0.406725;0.000047;;0.0889292;0.0000221;0.0008068;0.0000132;;;;;;0.000199;0.000029;-0.000122;0.000031
51916;2001;01;07;;-0.070068;0.000060;0.408041;0.000047;;0.0882375;0.0000163;0.0006463;0.0000132;;;;;;0.000224;0.000029;-0.000141;0.000031
51917;2001;01;08;;-0.070205;0.000060;0.409479;0.000047;;0.0876861;0.0000104;0.0004933;0.0000132;;;;;;0.000250;0.000029;-0.000160;0.000031
51918;2001;01;09;;-0.070220;0.000060;0.410814;0.000046;;0.0872445;0.0000046;0.0004441;0.0000132;;;;;;0.000275;0.000029;-0.000179;0.000032
51919;2001;01;10;;-0.069861;0.000060;0.412336;0.000046;;0.0868199;0.0000043;0.0004186;0.0000133;;;;;;0.000270;0.000029;-0.000158;0.000031
51920;2001;01;11;;-0.069330;0.000059;0.414004;0.000046;;0.0864003;0.0000039;0.0004447;0.0000133;;;;;;0.000155;0.000029;-0.000180;0.000031
51921;2001;01;12;;-0.068456;0.000059;0.416120;0.000046;;0.0858451;0.0000088;0.0005855;0.0000133;;;;;;0.000106;0.000028;-0.000203;0.000030
51922;2001;01;13;;-0.067463;0.000059;0.418251;0.000046;;0.0851161;0.0000138;0.0007422;0.0000133;;;;;;0.000095;0.000028;-0.000222;0.000030
51923;2001;01;14;;-0.066479;0.000059;0.420226;0.000046;;0.0842390;0.0000112;0.0008823;0.0000134;;;;;;0.000084;0.000028;-0.000241;0.000029
51924;2001;01;15;;-0.065406;0.000059;0.422044;0.000046;;0.0833100;0.0000086;0.0009404;0.0000134;;;;;;0.000072;0.000027;-0.000259;0.000028
51925;2001;01;16;;-0.063999;0.000059;0.423541;0.000046;;0.0824180;0.0000060;0.0009155;0.0000134;;;;;;0.000061;0.000027;-0.000278;0.000028
51926;2001;01;17;;-0.062602;0.000059;0.425076;0.000046;;0.0816384;0.0000034;0.0007815;0.0000135;;;;;;0.000050;0.000027;-0.000297;0.000027
51927;2001;01;18;;-0.061434;0.000060;0.426438;0.000046;;0.0809369;0.0000060;0.0005717;0.0000135;;;;;;0.000307;0.000026;-0.000078;0.000026
51928;2001;01;19;;-0.060301;0.000060;0.428009;0.000046;;0.0803992;0.0000114;0.0004021;0.0000135;;;;;;0.000387;0.000026;-0.000005;0.000025
51929;2001;01;20;;-0.059175;0.000060;0.429380;0.000046;;0.0801026;0.0000197;0.0002618;0.0000136;;;;;;0.000335;0.000025;-0.000045;0.000025
51930;2001;01;21;;-0.058122;0.000060;0.430418;0.000046;;0.0799970;0.0000198;0.0000786;0.0000136;;;;;;0.000284;0.000025;-0.000085;0.000024
51931;2001;01;22;;-0.056745;0.000060;0.431190;0.000047;;0.0799904;0.0000199;-0.0000387;0.0000136;;;;;;0.000232;0.000024;-0.000124;0.000023
51932;2001;01;23;;-0.055378;0.000061;0.432515;0.000047;;0.0800354;0.0000200;-0.0000794;0.0000137;;;;;;0.000180;0.000024;-0.000164;0.000022
51933;2001;01;24;;-0.054038;0.000061;0.434299;0.000047;;0.0801054;0.0000090;-0.0000531;0.0000137;;;;;;0.000189;0.000024;-0.000183;0.000022
51934;2001;01;25;;-0.052227;0.000061;0.436048;0.000047;;0.0801105;0.0000025;0.0000481;0.0000137;;;;;;0.000130;0.000023;-0.000240;0.000021
51935;2001;01;26;;-0.050435;0.000062;0.438026;0.000048;;0.0799589;0.0000160;0.0001715;0.0000137;;;;;;0.000101;0.000023;-0.000252;0.000021
51936;2001;01;27;;-0.049130;0.000062;0.439812;0.000048;;0.0796787;0.0000312;0.0002940;0.0000137;;;;;;0.000094;0.000022;-0.000242;0.000020
51937;2001;01;28;;-0.047602;0.000062;0.441607;0.000048;;0.0792944;0.0000276;0.0004503;0.0000137;;;;;;0.000086;0.000022;-0.000232;0.000019
51938;2001;01;29;;-0.045537;0.000063;0.443509;0.000048;;0.0788172;0.0000239;0.0005621;0.0000138;;;;;;0.000079;0.000021;-0.000221;0.000019
51939;2001;01;30;;-0.043660;0.000063;0.444974;0.000048;;0.0782782;0.0000203;0.0006019;0.0000138;;;;;;0.000072;0.000021;-0.000211;0.000018
51940;2001;01;31;;-0.042067;0.000063;0.446396;0.000049;;0.0777060;0.0000063;0.0005437;0.0000138;;;;;;0.000254;0.000021;-0.000159;0.000019
51941;2001;02;01;;-0.040683;0.000064;0.447325;0.000049;;0.0772066;0.0000064;0.0004689;0.0000138;;;;;;0.000298;0.000022;-0.000141;0.000020
51942;2001;02;02;;-0.039012;0.000064;0.448060;0.000049;;0.0767917;0.0000143;0.0003692;0.0000138;;;;;;0.000290;0.000022;-0.000134;0.000020
51943;2001;02;03;;-0.037722;0.000064;0.448868;0.000049;;0.0764837;0.0000284;0.0002097;0.0000138;;;;;;0.000283;0.000023;-0.000128;0.000021
51944;2001;02;04;;-0.036102;0.000064;0.449525;0.000049;;0.0763497;0.0000205;0.0000712;0.0000138;;;;;;0.000275;0.000023;-0.000122;0.000022
51945;2001;02;05;;-0.034057;0.000064;0.450440;0.000050;;0.0763128;0.0000125;-0.0000019;0.0000138;;;;;;0.000268;0.000024;-0.000115;0.000022
51946;2001;02;06;;-0.032137;0.000065;0.451811;0.000050;;0.0762981;0.0000045;0.0000362;0.0000138;;;;;;0.000260;0.000024;-0.000109;0.000023
51947;2001;02;07;;-0.030357;0.000065;0.453129;0.000050;;0.0761850;0.0000038;0.0002129;0.0000138;;;;;;0.000204;0.000025;-0.000165;0.000024
51948;2001;02;08;;-0.028446;0.000065;0.454738;0.000050;;0.0758400;0.0000020;0.0004643;0.0000138;;;;;;0.000204;0.000025;-0.000172;0.000025
51949;2001;02;09;;-0.026509;0.000066;0.456415;0.000051;;0.0751935;0.0000079;0.0007377;0.0000138;;;;;;0.000196;0.000026;-0.000163;0.000025
51950;2001;02;10;;-0.024658;0.000066;0.457716;0.000051;;0.0742935;0.0000146;0.0009626;0.0000138;;;;;;0.000175;0.000026;-0.000156;0.000026
51951;2001;02;11;;-0.023316;0.000066;0.459250;0.000051;;0.0732653;0.0000112;0.0010798;0.0000138;;;;;;0.000154;0.000026;-0.000149;0.000027
51952;2001;02;12;;-0.022418;0.000067;0.459847;0.000052;;0.0721463;0.0000078;0.0011272;0.0000139;;;;;;0.000134;0.000027;-0.000142;0.000027
51953;2001;02;13;;-0.020876;0.000067;0.460700;0.000052;;0.0710408;0.0000044;0.0011205;0.0000139;;;;;;0.000113;0.000027;-0.000136;0.000028
51954;2001;02;14;;-0.019291;0.000067;0.462062;0.000052;;0.0699340;0.0000026;0.0010235;0.0000139;;;;;;0.000107;0.000028;-0.000152;0.000029
51955;2001;02;15;;-0.017628;0.000067;0.463391;0.000052;;0.0689814;0.0000146;0.0008698;0.0000139;;;;;;0.000115;0.000028;-0.000006;0.000029
51956;2001;02;16;;-0.015912;0.000067;0.464796;0.000052;;0.0680953;0.0000158;0.0007308;0.0000139;;;;;;0.000140;0.000028;0.000048;0.000030
51957;2001;02;17;;-0.014004;0.000067;0.466027;0.000052;;0.0673214;0.0000122;0.0006137;0.0000139;;;;;;0.000168;0.000028;0.000048;0.000030
51958;2001;02;18;;-0.012265;0.000067;0.467304;0.000052;;0.0667419;0.0000119;0.0005620;0.0000139;;;;;;0.000197;0.000028;0.000048;0.000030
51959;2001;02;19;;-0.010537;0.000067;0.468393;0.000052;;0.0661924;0.0000116;0.0005720;0.0000139;;;;;;0.000225;0.000028;0.000048;0.000030
51960;2001;02;20;;-0.008328;0.000067;0.469468;0.000052;;0.0656252;0.0000113;0.0006097;0.0000139;;;;;;0.000253;0.000028;0.000049;0.000031
51961;2001;02;21;;-0.005562;0.000067;0.470907;0.000052;;0.0649768;0.0000055;0.0006502;0.0000140;;;;;;0.000331;0.000028;-0.000019;0.000031
51962;2001;02;22;;-0.002336;0.000067;0.472215;0.000052;;0.0642795;0.0000025;0.0007222;0.0000140;;;;;;0.000303;0.000028;-0.000048;0.000030
51963;2001;02;23;;0.001092;0.000067;0.474111;0.000052;;0.0634255;0.0000060;0.0008568;0.0000140;;;;;;0.000224;0.000028;-0.000058;0.000030
51964;2001;02;24;;0.004163;0.000067;0.475950;0.000052;;0.0624093;0.0000103;0.0010183;0.0000140;;;;;;0.000142;0.000028;-0.000067;0.000030
51965;2001;02;25;;0.006920;0.000067;0.477590;0.000052;;0.0612633;0.0000099;0.0011940;0.0000140;;;;;;0.000059;0.000027;-0.000076;0.000029
51966;2001;02;26;;0.009549;0.000067;0.478908;0.000052;;0.0599988;0.0000095;0.0013575;0.0000141;;;;;;-0.000024;0.000027;-0.000085;0.000029
51967;2001;02;27;;0.012074;0.000067;0.480194;0.000052;;0.0586442;0.0000083;0.0014589;0.0000141;;;;;;-0.000106;0.000027;-0.000094;0.000029
51968;2001;02;28;;0.014486;0.000067;0.481242;0.000052;;0.0572066;0.0000043;0.0014629;0.0000141;;;;;;0.000017;0.000026;-0.000287;0.000028
51969;2001;03;01;;0.016313;0.000067;0.482299;0.000052;;0.0557514;0.0000082;0.0013872;0.0000141;;;;;;0.000071;0.000026;-0.000325;0.000027
51970;2001;03;02;;0.017274;0.000067;0.482873;0.000052;;0.0543789;0.0000130;0.0012300;0.0000141;;;;;;0.000089;0.000025;-0.000300;0.000026
51971;2001;03;03;;0.018462;0.000067;0.483317;0.000052;;0.0531981;0.0000106;0.0011068;0.0000141;;;;;;0.000107;0.000025;-0.000274;0.000026
