MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
55927;2012;01;01;;0.118607;0.000067;0.263266;0.000054;;-0.4190280;0.0000143;0.0012692;0.0000150;;;;;;0.000444;0.000054;-0.000055;0.000056
55928;2012;01;02;;0.117456;0.000067;0.262472;0.000054;;-0.4202700;0.0000170;0.0011724;0.0000150;;;;;;0.000445;0.000054;-0.000040;0.000056
55929;2012;01;03;;0.115935;0.000067;0.261720;0.000054;;-0.4213955;0.0000132;0.0010807;0.0000150;;;;;;0.000447;0.000054;-0.000024;0.000056
55930;2012;01;04;;0.114543;0.000067;0.260620;0.000054;;-0.4223919;0.0000065;0.0009439;0.0000150;;;;;;0.000448;0.000054;-0.000008;0.000056
55931;2012;01;05;;0.113334;0.000067;0.260231;0.000054;;-0.4232682;0.0000058;0.0008346;0.0000150;;;;;;0.000420;0.000054;-0.000078;0.000056
55932;2012;01;06;;0.111530;0.000067;0.260009;0.000054;;-0.4240514;0.0000068;0.0007447;0.0000150;;;;;;0.000385;0.000054;-0.000171;0.000056
55933;2012;01;07;;0.108874;0.000067;0.259776;0.000054;;-0.4247937;0.0000109;0.0007255;0.0000150;;;;;;0.000376;0.000054;-0.000188;0.000056
55934;2012;01;08;;0.106402;0.000067;0.258961;0.000054;;-0.4255511;0.0000114;0.0007845;0.0000150;;;;;;0.000377;0.000055;-0.000176;0.000056
55935;2012;01;09;;0.104231;0.000067;0.258131;0.000054;;-0.4263593;0.0000082;0.0009069;0.0000150;;;;;;0.000377;0.000055;-0.000164;0.000056
55936;2012;01;10;;0.101721;0.000067;0.257329;0.000054;;-0.4272823;0.0000044;0.0009763;0.0000151;;;;;;0.000377;0.000055;-0.000152;0.000055
55937;2012;01;11;;0.099712;0.000067;0.256051;0.000054;;-0.4283659;0.0000051;0.0011369;0.0000151;;;;;;0.000372;0.000055;-0.000198;0.000056
55938;2012;01;12;;0.098313;0.000067;0.255039;0.000054;;-0.4296191;0.0000068;0.0013247;0.0000151;;;;;;0.000365;0.000056;-0.000259;0.000056
55939;2012;01;13;;0.097324;0.000067;0.254481;0.000054;;-0.4310125;0.0000086;0.0014954;0.0000151;;;;;;0.000358;0.000056;-0.000321;0.000057
55940;2012;01;14;;0.096138;0.000067;0.254323;0.000054;;-0.4325344;0.0000108;0.0015359;0.0000151;;;;;;0.000347;0.000056;-0.000301;0.000057
55941;2012;01;15;;0.094933;0.000067;0.254411;0.000054;;-0.4340314;0.0000110;0.0014494;0.0000151;;;;;;0.000334;0.000056;-0.000251;0.000058
55942;2012;01;16;;0.093651;0.000067;0.254583;0.000054;;-0.4354355;0.0000097;0.0013366;0.0000151;;;;;;0.000322;0.000056;-0.000201;0.000058
