MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
55197;2010;01;01;;0.098695;0.000082;0.192853;0.000061;;0.1140330;0.0000304;0.0005515;0.0000133;;;;;;0.000102;0.000046;-0.000071;0.000049
55198;2010;01;02;;0.096604;0.000082;0.193232;0.000061;;0.1134203;0.0000151;0.0007741;0.0000133;;;;;;0.000095;0.000046;-0.000097;0.000049
55199;2010;01;03;;0.094676;0.000082;0.193107;0.000061;;0.1125087;0.0000103;0.0010575;0.0000133;;;;;;0.000088;0.000047;-0.000124;0.000049
55200;2010;01;04;;0.092786;0.000083;0.193416;0.000061;;0.1113329;0.0000076;0.0012465;0.0000134;;;;;;0.000081;0.000047;-0.000150;0.000050
55201;2010;01;05;;0.090576;0.000083;0.193734;0.000061;;0.1100064;0.0000034;0.0014238;0.0000135;;;;;;0.000074;0.000048;-0.000176;0.000050
55202;2010;01;06;;0.087665;0.000083;0.194098;0.000061;;0.1086158;0.0000099;0.0013382;0.0000135;;;;;;0.000057;0.000048;-0.000176;0.000050
55203;2010;01;07;;0.084302;0.000083;0.194269;0.000061;;0.1073280;0.0000157;0.0011750;0.0000136;;;;;;0.000038;0.000049;-0.000169;0.000051
55204;2010;01;08;;0.081206;0.000083;0.194426;0.000061;;0.1062553;0.0000079;0.0009798;0.0000136;;;;;;0.000019;0.000049;-0.000162;0.000052
55205;2010;01;09;;0.077933;0.000083;0.194511;0.000061;;0.1053959;0.0000087;0.0007406;0.0000136;;;;;;0.000006;0.000050;-0.000172;0.000052
55206;2010;01;10;;0.074185;0.000083;0.194387;0.000061;;0.1047965;0.0000102;0.0004832;0.0000137;;;;;;-0.000005;0.000050;-0.000189;0.000052
55207;2010;01;11;;0.070451;0.000083;0.194278;0.000061;;0.1044057;0.0000075;0.0003239;0.0000137;;;;;;-0.000015;0.000050;-0.000205;0.000052
55208;2010;01;12;;0.067550;0.000083;0.194324;0.000061;;0.1041319;0.0000033;0.0002571;0.0000138;;;;;;-0.000025;0.000051;-0.000221;0.000052
55209;2010;01;13;;0.064903;0.000083;0.194517;0.000061;;0.1038825;0.0000062;0.0002516;0.0000138;;;;;;0.000208;0.000051;-0.000228;0.000053
55210;2010;01;14;;0.062148;0.000083;0.194893;0.000061;;0.1036160;0.0000090;0.0002606;0.0000139;;;;;;0.000505;0.000051;-0.000232;0.000053
55211;2010;01;15;;0.059184;0.000083;0.195238;0.000062;;0.1033179;0.0000042;0.0003822;0.0000139;;;;;;0.000165;0.000051;-0.000283;0.000053
55212;2010;01;16;;0.055824;0.000083;0.195599;0.000062;;0.1028507;0.0000077;0.0005624;0.0000139;;;;;;0.000076;0.000051;-0.000335;0.000053
55213;2010;01;17;;0.052402;0.000083;0.195750;0.000062;;0.1021916;0.0000102;0.0007431;0.0000140;;;;;;0.000157;0.000051;-0.000382;0.000053
55214;2010;01;18;;0.048865;0.000084;0.195960;0.000062;;0.1013568;0.0000096;0.0008983;0.0000140;;;;;;0.000239;0.000051;-0.000428;0.000053
55215;2010;01;19;;0.044993;0.000084;0.196133;0.000062;;0.1004243;0.0000071;0.0009685;0.0000141;;;;;;0.000319;0.000051;-0.000474;0.000053
55216;2010;01;20;;0.040975;0.000084;0.196420;0.000062;;0.0994233;0.0000040;0.0009677;0.0000141;;;;;;0.000078;0.000050;-0.000307;0.000052
55217;2010;01;21;;0.036965;0.000084;0.196820;0.000062;;0.0983926;0.0000042;0.0009927;0.0000141;;;;;;0.000030;0.000050;-0.000248;0.000052
55218;2010;01;22;;0.033475;0.000084;0.197121;0.000062;;0.0973826;0.0000052;0.0010056;0.0000141;;;;;;0.000032;0.000050;-0.000219;0.000052
55219;2010;01;23;;0.030544;0.000084;0.197134;0.000062;;0.0964038;0.0000091;0.0009600;0.0000141;;;;;;0.000008;0.000050;-0.000200;0.000051
55220;2010;01;24;;0.028109;0.000084;0.197335;0.000062;;0.0954957;0.0000096;0.0008384;0.0000141;;;;;;-0.000025;0.000050;-0.000184;0.000050
55221;2010;01;25;;0.025536;0.000084;0.197977;0.000062;;0.0947361;0.0000064;0.0006806;0.0000141;;;;;;-0.000058;0.000050;-0.000169;0.000050
55222;2010;01;26;;0.022960;0.000084;0.198520;0.000062;;0.0940955;0.0000025;0.0005814;0.0000142;;;;;;-0.000092;0.000050;-0.000154;0.000049
55223;2010;01;27;;0.020546;0.000084;0.199214;0.000062;;0.0935434;0.0000021;0.0005628;0.0000142;;;;;;-0.000029;0.000050;-0.000125;0.000049
