MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
58119;2018;01;01;;0.059224;0.000056;0.247646;0.000038;;0.2163584;0.0000135;0.0008241;0.0000115;;;;;;0.000094;0.000052;-0.000026;0.000080
58120;2018;01;02;;0.057406;0.000056;0.248566;0.000038;;0.2156106;0.0000136;0.0007355;0.0000115;;;;;;0.000098;0.000053;-0.000030;0.000080
58121;2018;01;03;;0.055667;0.000056;0.249547;0.000038;;0.2148671;0.0000136;0.0007464;0.0000115;;;;;;0.000102;0.000053;-0.000035;0.000080
58122;2018;01;04;;0.054388;0.000056;0.250409;0.000038;;0.2140584;0.0000136;0.0008484;0.0000115;;;;;;0.000206;0.000053;-0.000069;0.000079
58123;2018;01;05;;0.053497;0.000056;0.251568;0.000038;;0.2131828;0.0000136;0.0008848;0.0000115;;;;;;0.000335;0.000053;-0.000111;0.000078
58124;2018;01;06;;0.052593;0.000056;0.252938;0.000038;;0.2122901;0.0000135;0.0008868;0.0000116;;;;;;0.000360;0.000053;-0.000121;0.000078
58125;2018;01;07;;0.050970;0.000057;0.254226;0.000038;;0.2114238;0.0000135;0.0008519;0.0000116;;;;;;0.000347;0.000053;-0.000119;0.000077
58126;2018;01;08;;0.049223;0.000057;0.255002;0.000038;;0.2106239;0.0000135;0.0007565;0.0000116;;;;;;0.000333;0.000054;-0.000117;0.000076
58127;2018;01;09;;0.047987;0.000057;0.255808;0.000039;;0.2099278;0.0000134;0.0006126;0.0000116;;;;;;0.000319;0.000054;-0.000114;0.000075
58128;2018;01;10;;0.046686;0.000057;0.257130;0.000039;;0.2093798;0.0000133;0.0005072;0.0000116;;;;;;0.000249;0.000054;-0.000116;0.000074
58129;2018;01;11;;0.045008;0.000057;0.258580;0.000039;;0.2089311;0.0000131;0.0004246;0.0000116;;;;;;0.000165;0.000054;-0.000118;0.000072
58130;2018;01;12;;0.043355;0.000057;0.259855;0.000039;;0.2085176;0.0000130;0.0003018;0.0000117;;;;;;0.000081;0.000054;-0.000121;0.000070
58131;2018;01;13;;0.041402;0.000057;0.260606;0.000039;;0.2082845;0.0000129;0.0001676;0.0000117;;;;;;0.000067;0.000054;-0.000127;0.000069
58132;2018;01;14;;0.039860;0.000057;0.260774;0.000039;;0.2081715;0.0000129;0.0000794;0.0000117;;;;;;0.000079;0.000054;-0.000135;0.000068
58133;2018;01;15;;0.038639;0.000057;0.261182;0.000039;;0.2081143;0.0000128;0.0000335;0.0000117;;;;;;0.000091;0.000054;-0.000142;0.000067
58134;2018;01;16;;0.037810;0.000057;0.261913;0.000039;;0.2080778;0.0000128;0.0000282;0.0000117;;;;;;0.000103;0.000054;-0.000150;0.000066
58135;2018;01;17;;0.037169;0.000057;0.263221;0.000039;;0.2080112;0.0000127;0.0000780;0.0000117;;;;;;0.000129;0.000054;-0.000143;0.000066
58136;2018;01;18;;0.036146;0.000057;0.264989;0.000039;;0.2078806;0.0000127;0.0001477;0.0000118;;;;;;0.000158;0.000054;-0.000132;0.000065
58137;2018;01;19;;0.034752;0.000057;0.266831;0.000039;;0.2076571;0.0000126;0.0002862;0.0000118;;;;;;0.000188;0.000054;-0.000122;0.000064
58138;2018;01;20;;0.032747;0.000057;0.268633;0.000039;;0.2073152;0.0000125;0.0004294;0.0000118;;;;;;0.000201;0.000054;-0.000119;0.000063
58139;2018;01;21;;0.030561;0.000057;0.270346;0.000039;;0.2068073;0.0000124;0.0005816;0.0000118;;;;;;0.000208;0.000054;-0.000118;0.000063
58140;2018;01;22;;0.028676;0.000057;0.272068;0.000039;;0.2061306;0.0000123;0.0007363;0.0000118;;;;;;0.000215;0.000054;-0.000118;0.000062
58141;2018;01;23;;0.027384;0.000057;0.273712;0.000039;;0.2053131;0.0000121;0.0008662;0.0000118;;;;;;0.000221;0.000054;-0.000118;0.000061
58142;2018;01;24;;0.026021;0.000057;0.275528;0.000039;;0.2044218;0.0000121;0.0009243;0.0000119;;;;;;0.000208;0.000054;-0.000143;0.000061
58143;2018;01;25;;0.024129;0.000057;0.277399;0.000039;;0.2034602;0.0000121;0.0009929;0.0000119;;;;;;0.000190;0.000054;-0.000174;0.000063
58144;2018;01;26;;0.022368;0.000057;0.279079;0.000039;;0.2024316;0.0000121;0.0010030;0.0000119;;;;;;0.000172;0.000054;-0.000205;0.000064
