MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
53736;2006;01;01;;0.052618;0.000064;0.383669;0.000077;;0.3388662;0.0000041;0.0001553;0.0000123;;;;;;0.000272;0.000041;-0.000270;0.000037
53737;2006;01;02;;0.051716;0.000064;0.383305;0.000077;;0.3386554;0.0000048;0.0003318;0.0000123;;;;;;0.000280;0.000041;-0.000260;0.000037
53738;2006;01;03;;0.050885;0.000064;0.383073;0.000077;;0.3381739;0.0000055;0.0006279;0.0000123;;;;;;0.000288;0.000041;-0.000249;0.000037
53739;2006;01;04;;0.050084;0.000064;0.382757;0.000077;;0.3374218;0.0000062;0.0007812;0.0000123;;;;;;0.000296;0.000042;-0.000238;0.000037
53740;2006;01;05;;0.049445;0.000064;0.382383;0.000076;;0.3365376;0.0000073;0.0009411;0.0000122;;;;;;0.000242;0.000042;-0.000228;0.000037
53741;2006;01;06;;0.049391;0.000064;0.382095;0.000076;;0.3355455;0.0000065;0.0009415;0.0000122;;;;;;0.000219;0.000042;-0.000212;0.000037
53742;2006;01;07;;0.049528;0.000064;0.382000;0.000076;;0.3346200;0.0000051;0.0008719;0.0000121;;;;;;0.000213;0.000042;-0.000194;0.000036
53743;2006;01;08;;0.049467;0.000064;0.381986;0.000076;;0.3339074;0.0000054;0.0005876;0.0000119;;;;;;0.000208;0.000042;-0.000176;0.000036
53744;2006;01;09;;0.049447;0.000065;0.381664;0.000077;;0.3334623;0.0000066;0.0003162;0.0000118;;;;;;0.000202;0.000042;-0.000158;0.000036
53745;2006;01;10;;0.049596;0.000065;0.381511;0.000077;;0.3332835;0.0000078;0.0000861;0.0000117;;;;;;0.000197;0.000042;-0.000140;0.000036
53746;2006;01;11;;0.049224;0.000065;0.381450;0.000077;;0.3332870;0.0000095;-0.0000846;0.0000116;;;;;;0.000181;0.000042;-0.000180;0.000036
53747;2006;01;12;;0.048695;0.000065;0.381045;0.000077;;0.3334524;0.0000102;-0.0002586;0.0000116;;;;;;0.000162;0.000042;-0.000236;0.000036
53748;2006;01;13;;0.048462;0.000065;0.380774;0.000077;;0.3337641;0.0000067;-0.0002700;0.0000116;;;;;;0.000143;0.000042;-0.000291;0.000035
53749;2006;01;14;;0.048575;0.000065;0.380278;0.000077;;0.3339728;0.0000076;-0.0001278;0.0000116;;;;;;0.000125;0.000042;-0.000312;0.000035
53750;2006;01;15;;0.049168;0.000065;0.380111;0.000077;;0.3340550;0.0000072;0.0000052;0.0000116;;;;;;0.000109;0.000042;-0.000320;0.000035
53751;2006;01;16;;0.049997;0.000065;0.379915;0.000077;;0.3340711;0.0000058;0.0000066;0.0000116;;;;;;0.000092;0.000042;-0.000327;0.000035
53752;2006;01;17;;0.050434;0.000065;0.380288;0.000077;;0.3339479;0.0000046;0.0001341;0.0000116;;;;;;0.000075;0.000041;-0.000334;0.000034
53753;2006;01;18;;0.050588;0.000065;0.380711;0.000077;;0.3336410;0.0000035;0.0003946;0.0000115;;;;;;0.000167;0.000041;-0.000290;0.000034
53754;2006;01;19;;0.050758;0.000065;0.381017;0.000077;;0.3331396;0.0000082;0.0005945;0.0000114;;;;;;0.000241;0.000041;-0.000269;0.000034
53755;2006;01;20;;0.050438;0.000065;0.381320;0.000077;;0.3325511;0.0000056;0.0006074;0.0000114;;;;;;0.000156;0.000041;-0.000197;0.000034
53756;2006;01;21;;0.050154;0.000065;0.381472;0.000077;;0.3318791;0.0000057;0.0006511;0.0000113;;;;;;0.000126;0.000040;-0.000176;0.000033
53757;2006;01;22;;0.050098;0.000065;0.381740;0.000077;;0.3311860;0.0000077;0.0006636;0.0000112;;;;;;0.000134;0.000040;-0.000181;0.000033
53758;2006;01;23;;0.050167;0.000065;0.381076;0.000077;;0.3305411;0.0000098;0.0006290;0.0000111;;;;;;0.000143;0.000040;-0.000187;0.000033
53759;2006;01;24;;0.050305;0.000065;0.380534;0.000077;;0.3299956;0.0000118;0.0005506;0.0000109;;;;;;0.000151;0.000040;-0.000192;0.000033
53760;2006;01;25;;0.050126;0.000066;0.380623;0.000077;;0.3295051;0.0000084;0.0004214;0.0000108;;;;;;0.000112;0.000039;-0.000260;0.000032
53761;2006;01;26;;0.050045;0.000066;0.380937;0.000078;;0.3291150;0.0000036;0.0003938;0.0000108;;;;;;0.000042;0.000039;-0.000355;0.000031
53762;2006;01;27;;0.050263;0.000066;0.381024;0.000078;;0.3287296;0.0000031;0.0004159;0.0000107;;;;;;0.000177;0.000038;-0.000364;0.000031
53763;2006;01;28;;0.050658;0.000066;0.381352;0.000078;;0.3282646;0.0000056;0.0005037;0.0000106;;;;;;0.000211;0.000038;-0.000357;0.000031
53764;2006;01;29;;0.051141;0.000066;0.381729;0.000078;;0.3276802;0.0000088;0.0006850;0.0000106;;;;;;0.000184;0.000038;-0.000356;0.000031
53765;2006;01;30;;0.051516;0.000066;0.381982;0.000078;;0.3268665;0.0000074;0.0009740;0.0000105;;;;;;0.000156;0.000038;-0.000354;0.000031
53766;2006;01;31;;0.051615;0.000066;0.382531;0.000078;;0.3257254;0.0000037;0.0012134;0.0000104;;;;;;0.000128;0.000037;-0.000353;0.000031
53767;2006;02;01;;0.051335;0.000066;0.383353;0.000078;;0.3243126;0.0000098;0.0014711;0.0000103;;;;;;0.000071;0.000037;-0.000278;0.000031
53768;2006;02;02;;0.050654;0.000066;0.384059;0.000078;;0.3227352;0.0000048;0.0015801;0.0000103;;;;;;0.000028;0.000037;-0.000265;0.000031
53769;2006;02;03;;0.050106;0.000066;0.384476;0.000078;;0.3211773;0.0000047;0.0014767;0.0000102;;;;;;0.000052;0.000037;-0.000300;0.000031
53770;2006;02;04;;0.050019;0.000066;0.384851;0.000078;;0.3197616;0.0000072;0.0013398;0.0000102;;;;;;0.000088;0.000037;-0.000301;0.000032
53771;2006;02;05;;0.050220;0.000066;0.384890;0.000078;;0.3186067;0.0000097;0.0009818;0.0000101;;;;;;0.000122;0.000038;-0.000286;0.000032
53772;2006;02;06;;0.050939;0.000066;0.384731;0.000078;;0.3177817;0.0000082;0.0007485;0.0000101;;;;;;0.000156;0.000038;-0.000271;0.000032
53773;2006;02;07;;0.051145;0.000066;0.384812;0.000078;;0.3172218;0.0000046;0.0005327;0.0000100;;;;;;0.000189;0.000038;-0.000256;0.000032
53774;2006;02;08;;0.051373;0.000066;0.384583;0.000078;;0.3168287;0.0000048;0.0003589;0.0000100;;;;;;0.000139;0.000038;-0.000261;0.000032
53775;2006;02;09;;0.052620;0.000066;0.384549;0.000078;;0.3164704;0.0000119;0.0003609;0.0000100;;;;;;0.000156;0.000039;-0.000254;0.000033
53776;2006;02;10;;0.053783;0.000066;0.384758;0.000078;;0.3160763;0.0000064;0.0003853;0.0000100;;;;;;0.000283;0.000039;-0.000367;0.000033
53777;2006;02;11;;0.055065;0.000066;0.384848;0.000078;;0.3155714;0.0000085;0.0005013;0.0000100;;;;;;0.000297;0.000039;-0.000381;0.000033
53778;2006;02;12;;0.056394;0.000066;0.384755;0.000078;;0.3149398;0.0000109;0.0007649;0.0000100;;;;;;0.000259;0.000040;-0.000343;0.000034
53779;2006;02;13;;0.057363;0.000066;0.384414;0.000079;;0.3142098;0.0000084;0.0008930;0.0000099;;;;;;0.000221;0.000040;-0.000306;0.000034
53780;2006;02;14;;0.058105;0.000066;0.384098;0.000079;;0.3133451;0.0000046;0.0009088;0.0000099;;;;;;0.000183;0.000040;-0.000268;0.000034
53781;2006;02;15;;0.058914;0.000066;0.383879;0.000079;;0.3123960;0.0000156;0.0009619;0.0000099;;;;;;0.000131;0.000041;-0.000314;0.000035
53782;2006;02;16;;0.060272;0.000066;0.383845;0.000079;;0.3113420;0.0000141;0.0009981;0.0000099;;;;;;0.000129;0.000041;-0.000342;0.000035
53783;2006;02;17;;0.061965;0.000066;0.384259;0.000079;;0.3102504;0.0000078;0.0010772;0.0000099;;;;;;0.000143;0.000042;-0.000359;0.000036
53784;2006;02;18;;0.064241;0.000066;0.384896;0.000079;;0.3091132;0.0000062;0.0010850;0.0000098;;;;;;0.000151;0.000042;-0.000384;0.000036
53785;2006;02;19;;0.065865;0.000066;0.385293;0.000079;;0.3080381;0.0000076;0.0009813;0.0000098;;;;;;0.000158;0.000042;-0.000411;0.000036
53786;2006;02;20;;0.066846;0.000066;0.385126;0.000079;;0.3071198;0.0000073;0.0008798;0.0000097;;;;;;0.000165;0.000042;-0.000439;0.000036
53787;2006;02;21;;0.067444;0.000066;0.384911;0.000079;;0.3063790;0.0000058;0.0006745;0.0000097;;;;;;0.000172;0.000042;-0.000466;0.000037
53788;2006;02;22;;0.067407;0.000067;0.384545;0.000079;;0.3058099;0.0000125;0.0005033;0.0000096;;;;;;0.000182;0.000043;-0.000350;0.000037
53789;2006;02;23;;0.067619;0.000067;0.384089;0.000080;;0.3053768;0.0000179;0.0003395;0.0000096;;;;;;0.000193;0.000043;-0.000196;0.000037
53790;2006;02;24;;0.067930;0.000067;0.383836;0.000080;;0.3050412;0.0000100;0.0004115;0.0000095;;;;;;0.000228;0.000043;-0.000334;0.000037
53791;2006;02;25;;0.068802;0.000067;0.383328;0.000080;;0.3044967;0.0000082;0.0005874;0.0000094;;;;;;0.000207;0.000043;-0.000366;0.000037
53792;2006;02;26;;0.070167;0.000067;0.383042;0.000080;;0.3036767;0.0000166;0.0010299;0.0000093;;;;;;0.000162;0.000043;-0.000324;0.000036
53793;2006;02;27;;0.071444;0.000067;0.383035;0.000080;;0.3024761;0.0000149;0.0014564;0.0000093;;;;;;0.000116;0.000042;-0.000282;0.000036
53794;2006;02;28;;0.072005;0.000068;0.383284;0.000081;;0.3008930;0.0000061;0.0017680;0.0000092;;;;;;0.000071;0.000042;-0.000239;0.000035
53795;2006;03;01;;0.072313;0.000068;0.383157;0.000081;;0.2989653;0.0000082;0.0020181;0.0000091;;;;;;0.000091;0.000042;-0.000250;0.000035
53796;2006;03;02;;0.073502;0.000068;0.383442;0.000081;;0.2969639;0.0000118;0.0018322;0.0000090;;;;;;0.000130;0.000042;-0.000277;0.000035
53797;2006;03;03;;0.074846;0.000068;0.383527;0.000081;;0.2951765;0.0000090;0.0017963;0.0000090;;;;;;0.000169;0.000042;-0.000304;0.000036
53798;2006;03;04;;0.076841;0.000068;0.383250;0.000081;;0.2935596;0.0000069;0.0014633;0.0000089;;;;;;0.000154;0.000042;-0.000307;0.000035
