MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
56658;2014;01;01;;0.038625;0.000048;0.318929;0.000048;;-0.0970337;0.0000042;0.0011952;0.0000230;;;;;;0.000008;0.000047;0.000163;0.000031
56659;2014;01;02;;0.038411;0.000048;0.319622;0.000048;;-0.0982274;0.0000055;0.0012339;0.0000230;;;;;;-0.000016;0.000048;0.000175;0.000032
56660;2014;01;03;;0.037804;0.000048;0.320458;0.000048;;-0.0995076;0.0000068;0.0013011;0.0000230;;;;;;-0.000041;0.000049;0.000188;0.000032
56661;2014;01;04;;0.037059;0.000048;0.320811;0.000048;;-0.1008557;0.0000196;0.0013803;0.0000230;;;;;;-0.000026;0.000049;0.000192;0.000033
56662;2014;01;05;;0.036698;0.000048;0.321223;0.000048;;-0.1022601;0.0000168;0.0014192;0.0000230;;;;;;0.000004;0.000050;0.000193;0.000033
56663;2014;01;06;;0.036122;0.000049;0.321908;0.000048;;-0.1036685;0.0000088;0.0013885;0.0000230;;;;;;0.000034;0.000051;0.000195;0.000033
56664;2014;01;07;;0.035263;0.000049;0.322840;0.000048;;-0.1049943;0.0000027;0.0012674;0.0000230;;;;;;0.000064;0.000051;0.000196;0.000034
56665;2014;01;08;;0.034235;0.000049;0.323974;0.000048;;-0.1061704;0.0000127;0.0010994;0.0000230;;;;;;0.000102;0.000052;0.000178;0.000034
56666;2014;01;09;;0.033904;0.000049;0.324984;0.000048;;-0.1071902;0.0000210;0.0009721;0.0000230;;;;;;0.000142;0.000053;0.000155;0.000034
56667;2014;01;10;;0.033577;0.000049;0.326468;0.000048;;-0.1080927;0.0000074;0.0008292;0.0000229;;;;;;0.000068;0.000053;0.000232;0.000035
56668;2014;01;11;;0.032842;0.000049;0.327905;0.000048;;-0.1088467;0.0000123;0.0006654;0.0000229;;;;;;0.000049;0.000054;0.000258;0.000035
56669;2014;01;12;;0.031625;0.000049;0.328991;0.000048;;-0.1094693;0.0000128;0.0005909;0.0000229;;;;;;0.000064;0.000054;0.000252;0.000035
56670;2014;01;13;;0.030240;0.000049;0.330037;0.000048;;-0.1100268;0.0000089;0.0005450;0.0000229;;;;;;0.000079;0.000055;0.000247;0.000035
56671;2014;01;14;;0.029382;0.000049;0.330675;0.000048;;-0.1105795;0.0000055;0.0005509;0.0000229;;;;;;0.000095;0.000055;0.000241;0.000035
56672;2014;01;15;;0.028560;0.000049;0.331788;0.000048;;-0.1111660;0.0000047;0.0006293;0.0000230;;;;;;0.000123;0.000055;0.000207;0.000035
56673;2014;01;16;;0.027405;0.000049;0.332652;0.000048;;-0.1118310;0.0000046;0.0007043;0.0000230;;;;;;0.000155;0.000055;0.000165;0.000034
56674;2014;01;17;;0.026585;0.000049;0.333747;0.000048;;-0.1126033;0.0000045;0.0008169;0.0000230;;;;;;0.000188;0.000056;0.000123;0.000034
56675;2014;01;18;;0.025858;0.000049;0.335129;0.000049;;-0.1135020;0.0000127;0.0009733;0.0000230;;;;;;0.000214;0.000056;0.000098;0.000034
56676;2014;01;19;;0.024785;0.000049;0.336444;0.000049;;-0.1145585;0.0000127;0.0011195;0.0000231;;;;;;0.000238;0.000056;0.000080;0.000034
56677;2014;01;20;;0.023705;0.000049;0.337475;0.000049;;-0.1157163;0.0000137;0.0012016;0.0000231;;;;;;0.000263;0.000056;0.000061;0.000034
56678;2014;01;21;;0.023636;0.000049;0.338291;0.000049;;-0.1169543;0.0000118;0.0012565;0.0000231;;;;;;0.000282;0.000056;0.000045;0.000033
56679;2014;01;22;;0.024050;0.000049;0.339040;0.000049;;-0.1182385;0.0000074;0.0012901;0.0000232;;;;;;0.000150;0.000055;0.000083;0.000033
56680;2014;01;23;;0.024359;0.000049;0.339986;0.000049;;-0.1195022;0.0000057;0.0012505;0.0000232;;;;;;0.000170;0.000055;0.000095;0.000032
56681;2014;01;24;;0.024502;0.000049;0.340785;0.000049;;-0.1207223;0.0000048;0.0011427;0.0000232;;;;;;0.000230;0.000054;0.000099;0.000031
56682;2014;01;25;;0.024346;0.000049;0.341404;0.000049;;-0.1218576;0.0000175;0.0010841;0.0000232;;;;;;0.000227;0.000054;0.000085;0.000031
56683;2014;01;26;;0.024091;0.000050;0.341819;0.000049;;-0.1229218;0.0000248;0.0010054;0.0000231;;;;;;0.000201;0.000054;0.000064;0.000031
56684;2014;01;27;;0.024192;0.000050;0.342557;0.000049;;-0.1238792;0.0000168;0.0009439;0.0000231;;;;;;0.000175;0.000054;0.000043;0.000031
56685;2014;01;28;;0.024382;0.000050;0.343913;0.000050;;-0.1248207;0.0000100;0.0009566;0.0000231;;;;;;0.000149;0.000054;0.000021;0.000031
56686;2014;01;29;;0.024523;0.000050;0.345557;0.000050;;-0.1258202;0.0000066;0.0010696;0.0000231;;;;;;0.000123;0.000054;0.000000;0.000031
56687;2014;01;30;;0.024560;0.000050;0.347002;0.000050;;-0.1269700;0.0000062;0.0012412;0.0000231;;;;;;0.000101;0.000054;0.000000;0.000031
56688;2014;01;31;;0.024272;0.000050;0.348034;0.000050;;-0.1282650;0.0000065;0.0013455;0.0000231;;;;;;0.000193;0.000054;0.000027;0.000031
56689;2014;02;01;;0.023720;0.000050;0.348846;0.000050;;-0.1296369;0.0000120;0.0014088;0.0000231;;;;;;0.000181;0.000054;0.000049;0.000031
56690;2014;02;02;;0.023527;0.000050;0.349533;0.000050;;-0.1310635;0.0000141;0.0013966;0.0000231;;;;;;0.000118;0.000054;0.000067;0.000031
56691;2014;02;03;;0.023561;0.000050;0.350124;0.000050;;-0.1324606;0.0000099;0.0013401;0.0000231;;;;;;0.000055;0.000054;0.000085;0.000031
56692;2014;02;04;;0.023735;0.000050;0.351002;0.000050;;-0.1337440;0.0000039;0.0012129;0.0000232;;;;;;-0.000008;0.000054;0.000103;0.000031
56693;2014;02;05;;0.023864;0.000050;0.352351;0.000050;;-0.1348497;0.0000035;0.0010118;0.0000232;;;;;;0.000004;0.000054;0.000135;0.000032
56694;2014;02;06;;0.024364;0.000050;0.353748;0.000050;;-0.1357764;0.0000046;0.0008329;0.0000233;;;;;;0.000060;0.000055;0.000158;0.000032
56695;2014;02;07;;0.024526;0.000050;0.355359;0.000050;;-0.1365467;0.0000057;0.0007076;0.0000233;;;;;;0.000206;0.000054;0.000130;0.000032
56696;2014;02;08;;0.024479;0.000050;0.356729;0.000050;;-0.1372258;0.0000184;0.0006317;0.0000233;;;;;;0.000221;0.000054;0.000146;0.000032
56697;2014;02;09;;0.024393;0.000050;0.358211;0.000050;;-0.1378255;0.0000198;0.0005625;0.0000234;;;;;;0.000188;0.000054;0.000177;0.000032
56698;2014;02;10;;0.024197;0.000050;0.359803;0.000050;;-0.1383963;0.0000133;0.0005991;0.0000234;;;;;;0.000155;0.000054;0.000209;0.000032
56699;2014;02;11;;0.024040;0.000050;0.361819;0.000050;;-0.1389977;0.0000067;0.0006722;0.0000235;;;;;;0.000122;0.000054;0.000240;0.000031
56700;2014;02;12;;0.023543;0.000050;0.363777;0.000050;;-0.1396740;0.0000097;0.0007413;0.0000235;;;;;;0.000138;0.000054;0.000186;0.000031
56701;2014;02;13;;0.022785;0.000050;0.365441;0.000050;;-0.1404630;0.0000128;0.0008543;0.0000236;;;;;;0.000167;0.000054;0.000110;0.000031
56702;2014;02;14;;0.022059;0.000050;0.367134;0.000050;;-0.1413957;0.0000072;0.0009903;0.0000236;;;;;;0.000289;0.000055;0.000047;0.000032
56703;2014;02;15;;0.021459;0.000050;0.368685;0.000050;;-0.1424475;0.0000175;0.0011131;0.0000237;;;;;;0.000287;0.000055;0.000033;0.000033
56704;2014;02;16;;0.021003;0.000050;0.370446;0.000050;;-0.1436550;0.0000219;0.0012701;0.0000237;;;;;;0.000229;0.000056;0.000034;0.000034
56705;2014;02;17;;0.020474;0.000050;0.372215;0.000050;;-0.1449579;0.0000175;0.0013350;0.0000238;;;;;;0.000170;0.000057;0.000035;0.000034
56706;2014;02;18;;0.019775;0.000050;0.373461;0.000050;;-0.1463110;0.0000115;0.0013584;0.0000238;;;;;;0.000111;0.000057;0.000036;0.000035
56707;2014;02;19;;0.019852;0.000050;0.374879;0.000051;;-0.1477017;0.0000143;0.0013881;0.0000239;;;;;;0.000143;0.000058;0.000075;0.000036
56708;2014;02;20;;0.020092;0.000050;0.376167;0.000051;;-0.1490673;0.0000167;0.0013344;0.0000239;;;;;;0.000199;0.000058;0.000123;0.000037
56709;2014;02;21;;0.020334;0.000050;0.377408;0.000051;;-0.1503415;0.0000090;0.0012212;0.0000240;;;;;;0.000268;0.000058;0.000041;0.000037
56710;2014;02;22;;0.020535;0.000050;0.378564;0.000051;;-0.1515516;0.0000163;0.0011444;0.0000240;;;;;;0.000294;0.000058;0.000018;0.000037
56711;2014;02;23;;0.020713;0.000050;0.380002;0.000051;;-0.1526832;0.0000186;0.0011380;0.0000241;;;;;;0.000302;0.000058;0.000034;0.000037
56712;2014;02;24;;0.020489;0.000050;0.381457;0.000051;;-0.1538268;0.0000149;0.0011862;0.0000241;;;;;;0.000310;0.000058;0.000050;0.000037
56713;2014;02;25;;0.019581;0.000050;0.382823;0.000051;;-0.1550466;0.0000110;0.0012721;0.0000241;;;;;;0.000318;0.000058;0.000066;0.000037
56714;2014;02;26;;0.018713;0.000050;0.383668;0.000051;;-0.1563948;0.0000115;0.0014481;0.0000242;;;;;;0.000234;0.000057;0.000042;0.000037
56715;2014;02;27;;0.018762;0.000051;0.384182;0.000051;;-0.1579400;0.0000117;0.0016767;0.0000242;;;;;;0.000179;0.000057;0.000014;0.000037
56716;2014;02;28;;0.019281;0.000051;0.385242;0.000051;;-0.1597418;0.0000064;0.0018938;0.0000242;;;;;;0.000204;0.000056;-0.000011;0.000036
56717;2014;03;01;;0.019851;0.000051;0.386589;0.000051;;-0.1616862;0.0000119;0.0019870;0.0000242;;;;;;0.000218;0.000055;-0.000005;0.000035
56718;2014;03;02;;0.020242;0.000051;0.387918;0.000051;;-0.1636857;0.0000154;0.0019830;0.0000242;;;;;;0.000222;0.000053;0.000012;0.000034
56719;2014;03;03;;0.020430;0.000051;0.389451;0.000051;;-0.1656596;0.0000121;0.0019172;0.0000242;;;;;;0.000226;0.000052;0.000029;0.000033
56720;2014;03;04;;0.020506;0.000051;0.390971;0.000051;;-0.1675271;0.0000067;0.0017830;0.0000242;;;;;;0.000230;0.000051;0.000046;0.000032
56721;2014;03;05;;0.020362;0.000051;0.392074;0.000051;;-0.1692341;0.0000114;0.0015948;0.0000242;;;;;;0.000255;0.000050;0.000039;0.000031
56722;2014;03;06;;0.020424;0.000051;0.393010;0.000051;;-0.1707613;0.0000157;0.0014176;0.0000242;;;;;;0.000285;0.000049;0.000026;0.000030
56723;2014;03;07;;0.020313;0.000051;0.394045;0.000051;;-0.1721222;0.0000085;0.0012988;0.0000242;;;;;;0.000315;0.000048;0.000013;0.000030
56724;2014;03;08;;0.020135;0.000051;0.395140;0.000051;;-0.1733613;0.0000131;0.0011755;0.0000242;;;;;;0.000317;0.000047;0.000001;0.000029
56725;2014;03;09;;0.019846;0.000051;0.396188;0.000051;;-0.1744938;0.0000127;0.0010661;0.0000242;;;;;;0.000308;0.000046;-0.000011;0.000028
56726;2014;03;10;;0.019509;0.000051;0.396953;0.000051;;-0.1755689;0.0000103;0.0010893;0.0000242;;;;;;0.000299;0.000045;-0.000022;0.000027
56727;2014;03;11;;0.019197;0.000051;0.398041;0.000051;;-0.1766179;0.0000090;0.0010649;0.0000242;;;;;;0.000290;0.000044;-0.000034;0.000026
56728;2014;03;12;;0.019420;0.000051;0.399147;0.000051;;-0.1776735;0.0000075;0.0010592;0.0000242;;;;;;0.000281;0.000044;-0.000045;0.000026
56729;2014;03;13;;0.020234;0.000051;0.400258;0.000051;;-0.1787999;0.0000071;0.0011575;0.0000242;;;;;;0.000347;0.000043;0.000061;0.000025
56730;2014;03;14;;0.021455;0.000051;0.401268;0.000051;;-0.1799905;0.0000071;0.0012469;0.0000242;;;;;;0.000318;0.000042;0.000100;0.000024
56731;2014;03;15;;0.022504;0.000051;0.402454;0.000051;;-0.1812187;0.0000175;0.0012929;0.0000242;;;;;;0.000278;0.000040;0.000094;0.000023
56732;2014;03;16;;0.023637;0.000051;0.403738;0.000051;;-0.1825057;0.0000219;0.0012959;0.0000242;;;;;;0.000248;0.000039;0.000084;0.000022
56733;2014;03;17;;0.024470;0.000051;0.405052;0.000051;;-0.1837803;0.0000181;0.0012448;0.0000242;;;;;;0.000217;0.000038;0.000073;0.000021
56734;2014;03;18;;0.024858;0.000051;0.405660;0.000051;;-0.1850332;0.0000128;0.0012335;0.0000242;;;;;;0.000186;0.000037;0.000062;0.000021
56735;2014;03;19;;0.025303;0.000051;0.406020;0.000051;;-0.1862720;0.0000148;0.0011909;0.0000241;;;;;;0.000203;0.000036;0.000106;0.000020
56736;2014;03;20;;0.026121;0.000051;0.406476;0.000051;;-0.1874632;0.0000186;0.0011623;0.0000241;;;;;;0.000244;0.000036;0.000141;0.000019
56737;2014;03;21;;0.027395;0.000051;0.407082;0.000051;;-0.1885929;0.0000225;0.0011168;0.0000241;;;;;;0.000330;0.000034;0.000089;0.000018
56738;2014;03;22;;0.028278;0.000051;0.408420;0.000051;;-0.1896888;0.0000184;0.0011114;0.0000241;;;;;;0.000355;0.000033;0.000046;0.000017
56739;2014;03;23;;0.029408;0.000051;0.409838;0.000051;;-0.1908400;0.0000207;0.0011640;0.0000240;;;;;;0.000358;0.000032;0.000007;0.000017
56740;2014;03;24;;0.030866;0.000051;0.411323;0.000051;;-0.1920471;0.0000169;0.0012655;0.0000240;;;;;;0.000361;0.000031;-0.000032;0.000016
56741;2014;03;25;;0.032258;0.000051;0.412702;0.000051;;-0.1933412;0.0000077;0.0013746;0.0000240;;;;;;0.000364;0.000031;-0.000070;0.000015
56742;2014;03;26;;0.033605;0.000051;0.414229;0.000051;;-0.1947883;0.0000166;0.0015393;0.0000240;;;;;;0.000336;0.000030;-0.000059;0.000015
56743;2014;03;27;;0.034995;0.000051;0.415246;0.000051;;-0.1963914;0.0000244;0.0016747;0.0000240;;;;;;0.000301;0.000029;-0.000034;0.000014
56744;2014;03;28;;0.036741;0.000051;0.416007;0.000051;;-0.1980908;0.0000098;0.0017359;0.0000240;;;;;;0.000258;0.000028;-0.000007;0.000014
56745;2014;03;29;;0.038453;0.000051;0.416886;0.000051;;-0.1998624;0.0000124;0.0018000;0.0000240;;;;;;0.000240;0.000027;0.000020;0.000013
56746;2014;03;30;;0.040414;0.000051;0.418056;0.000051;;-0.2016841;0.0000233;0.0017891;0.0000240;;;;;;0.000231;0.000026;0.000048;0.000012
56747;2014;03;31;;0.042244;0.000050;0.419490;0.000051;;-0.2034168;0.0000187;0.0016708;0.0000240;;;;;;0.000222;0.000026;0.000075;0.000012
56748;2014;04;01;;0.043621;0.000050;0.420985;0.000050;;-0.2050033;0.0000060;0.0014932;0.0000240;;;;;;0.000213;0.000025;0.000102;0.000011
56749;2014;04;02;;0.044738;0.000050;0.422571;0.000050;;-0.2064962;0.0000135;0.0014019;0.0000240;;;;;;0.000270;0.000025;0.000046;0.000012
56750;2014;04;03;;0.045494;0.000050;0.423930;0.000050;;-0.2078544;0.0000209;0.0013076;0.0000240;;;;;;0.000318;0.000026;0.000015;0.000012
