MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
54832;2009;01;01;;-0.017053;0.000077;0.146181;0.000075;;0.4071435;0.0000107;0.0010451;0.0000134;;;;;;-0.000173;0.000049;-0.000466;0.000053
54833;2009;01;02;;-0.020459;0.000071;0.147402;0.000064;;0.4059555;0.0000109;0.0012313;0.0000204;;;;;;-0.000187;0.000036;-0.000379;0.000032
54834;2009;01;03;;-0.023237;0.000071;0.149035;0.000064;;0.4046525;0.0000105;0.0013077;0.0000203;;;;;;-0.000205;0.000035;-0.000303;0.000031
54835;2009;01;04;;-0.025669;0.000071;0.150631;0.000064;;0.4033375;0.0000080;0.0013171;0.0000202;;;;;;-0.000222;0.000035;-0.000228;0.000031
54836;2009;01;05;;-0.028928;0.000071;0.152679;0.000064;;0.4020601;0.0000055;0.0012206;0.0000200;;;;;;-0.000240;0.000035;-0.000152;0.000031
54837;2009;01;06;;-0.033330;0.000071;0.154460;0.000064;;0.4009087;0.0000030;0.0010639;0.0000199;;;;;;-0.000258;0.000034;-0.000077;0.000030
54838;2009;01;07;;-0.037527;0.000072;0.156178;0.000064;;0.3999378;0.0000085;0.0008272;0.0000197;;;;;;-0.000257;0.000034;-0.000066;0.000030
54839;2009;01;08;;-0.041733;0.000072;0.157987;0.000064;;0.3991882;0.0000131;0.0005972;0.0000195;;;;;;-0.000252;0.000034;-0.000073;0.000030
54840;2009;01;09;;-0.045902;0.000072;0.159627;0.000064;;0.3986776;0.0000062;0.0005288;0.0000193;;;;;;-0.000246;0.000034;-0.000080;0.000030
54841;2009;01;10;;-0.049601;0.000072;0.161108;0.000065;;0.3981247;0.0000084;0.0006152;0.0000191;;;;;;-0.000231;0.000034;-0.000113;0.000030
