MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
57023;2015;01;01;;0.030695;0.000048;0.280799;0.000054;;-0.4599543;0.0000339;0.0009615;0.0000091;;;;;;-0.000101;0.000045;0.000013;0.000045
57024;2015;01;02;;0.029535;0.000048;0.281258;0.000054;;-0.4608547;0.0000682;0.0008648;0.0000091;;;;;;-0.000133;0.000045;0.000046;0.000045
57025;2015;01;03;;0.028852;0.000048;0.281599;0.000054;;-0.4616403;0.0000718;0.0007718;0.0000091;;;;;;-0.000165;0.000045;0.000080;0.000045
57026;2015;01;04;;0.028659;0.000048;0.282071;0.000054;;-0.4623373;0.0000313;0.0006626;0.0000091;;;;;;-0.000196;0.000044;0.000113;0.000045
57027;2015;01;05;;0.028436;0.000049;0.282762;0.000054;;-0.4629963;0.0000229;0.0006474;0.0000092;;;;;;-0.000228;0.000044;0.000147;0.000045
57028;2015;01;06;;0.027941;0.000049;0.283523;0.000054;;-0.4636581;0.0000154;0.0006354;0.0000092;;;;;;-0.000260;0.000044;0.000181;0.000045
57029;2015;01;07;;0.027106;0.000049;0.284514;0.000054;;-0.4643704;0.0000131;0.0006989;0.0000092;;;;;;-0.000184;0.000044;0.000162;0.000044
57030;2015;01;08;;0.025808;0.000049;0.285522;0.000054;;-0.4651583;0.0000123;0.0008336;0.0000092;;;;;;-0.000080;0.000043;0.000129;0.000044
57031;2015;01;09;;0.024562;0.000049;0.286030;0.000054;;-0.4660317;0.0000114;0.0009939;0.0000092;;;;;;0.000025;0.000043;0.000097;0.000044
57032;2015;01;10;;0.023502;0.000050;0.286657;0.000054;;-0.4670556;0.0000237;0.0011003;0.0000093;;;;;;-0.000006;0.000043;0.000094;0.000044
57033;2015;01;11;;0.022549;0.000050;0.287832;0.000054;;-0.4681815;0.0000308;0.0011057;0.0000093;;;;;;-0.000058;0.000042;0.000076;0.000043
57034;2015;01;12;;0.021527;0.000050;0.288833;0.000054;;-0.4692885;0.0000198;0.0011079;0.0000093;;;;;;-0.000099;0.000042;0.000047;0.000043
57035;2015;01;13;;0.020409;0.000050;0.289837;0.000054;;-0.4704035;0.0000080;0.0011142;0.0000093;;;;;;-0.000140;0.000041;0.000018;0.000042
57036;2015;01;14;;0.018915;0.000050;0.290855;0.000054;;-0.4715393;0.0000024;0.0011430;0.0000093;;;;;;-0.000181;0.000041;-0.000011;0.000042
57037;2015;01;15;;0.017149;0.000051;0.292205;0.000054;;-0.4726793;0.0000033;0.0011212;0.0000093;;;;;;-0.000181;0.000041;0.000050;0.000041
57038;2015;01;16;;0.015043;0.000051;0.293679;0.000054;;-0.4737919;0.0000058;0.0011303;0.0000093;;;;;;-0.000173;0.000041;0.000114;0.000041
57039;2015;01;17;;0.012945;0.000051;0.294570;0.000054;;-0.4748877;0.0000163;0.0010957;0.0000094;;;;;;-0.000162;0.000040;0.000246;0.000041
57040;2015;01;18;;0.010735;0.000051;0.295317;0.000054;;-0.4759595;0.0000212;0.0010653;0.0000094;;;;;;-0.000086;0.000040;0.000315;0.000041
57041;2015;01;19;;0.009200;0.000051;0.296111;0.000054;;-0.4770233;0.0000135;0.0010936;0.0000094;;;;;;-0.000013;0.000040;0.000212;0.000041
57042;2015;01;20;;0.008071;0.000051;0.296847;0.000054;;-0.4781495;0.0000469;0.0011695;0.0000094;;;;;;-0.000005;0.000040;0.000025;0.000040
57043;2015;01;21;;0.007336;0.000051;0.297606;0.000054;;-0.4793960;0.0001010;0.0013179;0.0000094;;;;;;-0.000111;0.000040;-0.000006;0.000040
57044;2015;01;22;;0.006884;0.000051;0.298570;0.000054;;-0.4808011;0.0000708;0.0014773;0.0000094;;;;;;-0.000151;0.000040;-0.000021;0.000040
57045;2015;01;23;;0.006188;0.000051;0.299575;0.000054;;-0.4823227;0.0000185;0.0015487;0.0000094;;;;;;-0.000173;0.000040;-0.000032;0.000040
57046;2015;01;24;;0.005096;0.000051;0.300175;0.000054;;-0.4838844;0.0000169;0.0015457;0.0000094;;;;;;-0.000239;0.000040;-0.000051;0.000040
57047;2015;01;25;;0.003994;0.000051;0.301223;0.000054;;-0.4854229;0.0000259;0.0014780;0.0000094;;;;;;-0.000188;0.000040;-0.000016;0.000040
57048;2015;01;26;;0.002781;0.000051;0.302216;0.000054;;-0.4868111;0.0000242;0.0012869;0.0000094;;;;;;-0.000126;0.000040;0.000033;0.000040
57049;2015;01;27;;0.002319;0.000051;0.303047;0.000054;;-0.4880236;0.0000192;0.0011485;0.0000094;;;;;;-0.000183;0.000040;0.000042;0.000040
57050;2015;01;28;;0.002218;0.000051;0.304433;0.000053;;-0.4890647;0.0000195;0.0009765;0.0000094;;;;;;-0.000174;0.000040;-0.000004;0.000040
57051;2015;01;29;;0.002153;0.000051;0.306113;0.000053;;-0.4899752;0.0000185;0.0008593;0.0000095;;;;;;-0.000153;0.000039;0.000012;0.000040
57052;2015;01;30;;0.002830;0.000050;0.308450;0.000053;;-0.4908278;0.0000070;0.0008438;0.0000095;;;;;;-0.000116;0.000039;0.000088;0.000039
57053;2015;01;31;;0.003738;0.000050;0.310857;0.000053;;-0.4916578;0.0000337;0.0008547;0.0000095;;;;;;-0.000096;0.000039;0.000127;0.000039
57054;2015;02;01;;0.004622;0.000050;0.313179;0.000053;;-0.4925369;0.0000470;0.0008861;0.0000095;;;;;;-0.000084;0.000039;0.000147;0.000039
57055;2015;02;02;;0.004661;0.000050;0.315579;0.000052;;-0.4934539;0.0000340;0.0009431;0.0000095;;;;;;-0.000118;0.000039;0.000109;0.000039
57056;2015;02;03;;0.004205;0.000050;0.317836;0.000052;;-0.4944347;0.0000147;0.0010584;0.0000095;;;;;;-0.000153;0.000039;0.000065;0.000039
57057;2015;02;04;;0.003871;0.000049;0.319825;0.000052;;-0.4955093;0.0000145;0.0011308;0.0000095;;;;;;-0.000095;0.000039;0.000097;0.000038
57058;2015;02;05;;0.003146;0.000049;0.321302;0.000051;;-0.4966677;0.0000165;0.0011609;0.0000095;;;;;;0.000006;0.000039;0.000144;0.000038
57059;2015;02;06;;0.002621;0.000049;0.322729;0.000051;;-0.4978706;0.0000080;0.0012531;0.0000095;;;;;;-0.000040;0.000039;0.000187;0.000038
57060;2015;02;07;;0.002050;0.000048;0.324442;0.000050;;-0.4991359;0.0000180;0.0013243;0.0000095;;;;;;-0.000155;0.000038;0.000201;0.000037
