MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
57754;2017;01;01;;0.080406;0.000060;0.263110;0.000045;;0.5912977;0.0000116;0.0010160;0.0000140;;;;;;-0.000041;0.000046;-0.000127;0.000042
57755;2017;01;02;;0.080234;0.000059;0.263612;0.000044;;0.5901980;0.0000163;0.0011845;0.0000138;;;;;;-0.000051;0.000043;-0.000127;0.000040
57756;2017;01;03;;0.080325;0.000059;0.264049;0.000044;;0.5889489;0.0000209;0.0013554;0.0000138;;;;;;-0.000060;0.000044;-0.000127;0.000040
57757;2017;01;04;;0.080085;0.000060;0.264248;0.000045;;0.5875560;0.0000256;0.0014755;0.0000139;;;;;;-0.000069;0.000044;-0.000128;0.000040
57758;2017;01;05;;0.078979;0.000060;0.264771;0.000045;;0.5860113;0.0000241;0.0015833;0.0000140;;;;;;-0.000071;0.000045;-0.000156;0.000040
57759;2017;01;06;;0.076659;0.000060;0.265079;0.000045;;0.5844176;0.0000229;0.0015733;0.0000141;;;;;;-0.000065;0.000045;-0.000153;0.000040
57760;2017;01;07;;0.074997;0.000061;0.264999;0.000046;;0.5828289;0.0000223;0.0015881;0.0000141;;;;;;-0.000056;0.000042;-0.000138;0.000039
57761;2017;01;08;;0.073590;0.000061;0.265346;0.000046;;0.5812971;0.0000218;0.0015171;0.0000142;;;;;;-0.000048;0.000042;-0.000122;0.000039
57762;2017;01;09;;0.072292;0.000061;0.265405;0.000046;;0.5798632;0.0000241;0.0013991;0.0000143;;;;;;-0.000041;0.000042;-0.000104;0.000039
57763;2017;01;10;;0.070974;0.000062;0.265630;0.000046;;0.5785447;0.0000278;0.0012681;0.0000144;;;;;;-0.000058;0.000043;-0.000086;0.000039
57764;2017;01;11;;0.069188;0.000062;0.266009;0.000046;;0.5773226;0.0000315;0.0011980;0.0000145;;;;;;-0.000056;0.000043;-0.000068;0.000039
57765;2017;01;12;;0.067206;0.000063;0.266760;0.000047;;0.5761501;0.0000243;0.0011623;0.0000146;;;;;;-0.000068;0.000042;-0.000029;0.000038
57766;2017;01;13;;0.065434;0.000062;0.267601;0.000046;;0.5749710;0.0000143;0.0011970;0.0000142;;;;;;-0.000083;0.000040;0.000015;0.000037
