MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
50814;1998;01;01;;0.102412;0.000070;0.174609;0.000077;;0.2181138;0.0000045;0.0015077;0.0000270;;;;;;0.000119;0.000024;0.000009;0.000032
50815;1998;01;02;;0.100073;0.000071;0.173743;0.000078;;0.2164907;0.0000062;0.0016757;0.0000272;;;;;;0.000118;0.000025;-0.000008;0.000032
50816;1998;01;03;;0.097476;0.000072;0.173004;0.000079;;0.2146678;0.0000079;0.0018432;0.0000275;;;;;;0.000118;0.000025;-0.000024;0.000033
50817;1998;01;04;;0.095068;0.000073;0.172446;0.000080;;0.2126666;0.0000095;0.0019944;0.0000277;;;;;;0.000117;0.000026;-0.000040;0.000034
50818;1998;01;05;;0.092710;0.000073;0.172106;0.000081;;0.2105799;0.0000105;0.0020732;0.0000280;;;;;;0.000117;0.000027;-0.000056;0.000035
50819;1998;01;06;;0.090274;0.000074;0.171713;0.000082;;0.2085286;0.0000102;0.0020328;0.0000282;;;;;;0.000116;0.000027;-0.000073;0.000037
50820;1998;01;07;;0.087824;0.000075;0.171173;0.000082;;0.2066975;0.0000062;0.0019152;0.0000285;;;;;;0.000116;0.000028;-0.000089;0.000038
50821;1998;01;08;;0.085287;0.000075;0.170476;0.000083;;0.2047751;0.0000082;0.0017594;0.0000288;;;;;;0.000122;0.000029;-0.000073;0.000039
50822;1998;01;09;;0.082342;0.000076;0.169673;0.000084;;0.2029877;0.0000112;0.0015754;0.0000291;;;;;;0.000130;0.000029;-0.000046;0.000040
50823;1998;01;10;;0.079144;0.000076;0.168952;0.000084;;0.2014855;0.0000133;0.0014478;0.0000294;;;;;;0.000138;0.000030;-0.000019;0.000040
50824;1998;01;11;;0.076042;0.000077;0.168460;0.000085;;0.2001112;0.0000181;0.0014149;0.0000296;;;;;;0.000147;0.000030;0.000008;0.000041
50825;1998;01;12;;0.072685;0.000077;0.168330;0.000085;;0.1988099;0.0000115;0.0014356;0.0000299;;;;;;0.000155;0.000031;0.000035;0.000042
50826;1998;01;13;;0.069253;0.000078;0.167934;0.000086;;0.1974622;0.0000049;0.0014747;0.0000302;;;;;;0.000163;0.000031;0.000062;0.000043
50827;1998;01;14;;0.066484;0.000078;0.167748;0.000086;;0.1959635;0.0000030;0.0015644;0.0000304;;;;;;0.000099;0.000032;0.000080;0.000043
50828;1998;01;15;;0.063636;0.000078;0.167630;0.000086;;0.1942562;0.0000064;0.0016373;0.0000307;;;;;;0.000074;0.000032;0.000073;0.000043
50829;1998;01;16;;0.060252;0.000078;0.167552;0.000086;;0.1924930;0.0000094;0.0016835;0.0000309;;;;;;0.000068;0.000032;0.000059;0.000043
50830;1998;01;17;;0.056904;0.000078;0.167522;0.000086;;0.1908050;0.0000082;0.0017113;0.0000311;;;;;;0.000062;0.000032;0.000045;0.000043
50831;1998;01;18;;0.053955;0.000079;0.167462;0.000086;;0.1890839;0.0000084;0.0017466;0.0000312;;;;;;0.000056;0.000032;0.000031;0.000043
50832;1998;01;19;;0.051175;0.000079;0.167894;0.000086;;0.1873459;0.0000086;0.0017872;0.0000314;;;;;;0.000050;0.000032;0.000018;0.000043
50833;1998;01;20;;0.048068;0.000079;0.168474;0.000086;;0.1856383;0.0000079;0.0018003;0.0000316;;;;;;0.000044;0.000032;0.000004;0.000043
50834;1998;01;21;;0.044729;0.000079;0.168381;0.000086;;0.1840283;0.0000047;0.0017479;0.0000317;;;;;;0.000038;0.000033;-0.000010;0.000043
50835;1998;01;22;;0.041121;0.000079;0.167956;0.000086;;0.1822366;0.0000059;0.0016924;0.0000318;;;;;;0.000180;0.000033;-0.000043;0.000043
50836;1998;01;23;;0.037730;0.000079;0.167467;0.000085;;0.1804361;0.0000071;0.0017089;0.0000319;;;;;;0.000196;0.000032;-0.000043;0.000042
50837;1998;01;24;;0.034551;0.000078;0.167138;0.000085;;0.1787384;0.0000055;0.0017180;0.0000319;;;;;;0.000147;0.000032;-0.000029;0.000041
50838;1998;01;25;;0.031517;0.000078;0.166836;0.000084;;0.1770506;0.0000055;0.0017184;0.0000319;;;;;;0.000098;0.000032;-0.000016;0.000041
50839;1998;01;26;;0.028391;0.000077;0.166728;0.000083;;0.1754453;0.0000039;0.0017345;0.0000320;;;;;;0.000050;0.000032;-0.000002;0.000040
50840;1998;01;27;;0.025648;0.000077;0.166795;0.000082;;0.1737661;0.0000023;0.0018129;0.0000320;;;;;;0.000001;0.000031;0.000012;0.000039
50841;1998;01;28;;0.023190;0.000076;0.167338;0.000081;;0.1718687;0.0000034;0.0019689;0.0000320;;;;;;0.000117;0.000031;-0.000026;0.000039
50842;1998;01;29;;0.020367;0.000075;0.167883;0.000080;;0.1697335;0.0000033;0.0022098;0.0000319;;;;;;0.000203;0.000031;-0.000093;0.000038
50843;1998;01;30;;0.017307;0.000074;0.168557;0.000079;;0.1673861;0.0000026;0.0024138;0.0000319;;;;;;0.000266;0.000030;-0.000168;0.000037
50844;1998;01;31;;0.014143;0.000073;0.169101;0.000078;;0.1647811;0.0000053;0.0025169;0.0000319;;;;;;0.000210;0.000030;-0.000092;0.000036
50845;1998;02;01;;0.010917;0.000072;0.169634;0.000076;;0.1621318;0.0000077;0.0025395;0.0000318;;;;;;0.000155;0.000029;-0.000015;0.000036
50846;1998;02;02;;0.007777;0.000071;0.170231;0.000075;;0.1595883;0.0000090;0.0025126;0.0000318;;;;;;0.000099;0.000029;0.000061;0.000035
50847;1998;02;03;;0.004606;0.000069;0.171086;0.000074;;0.1571267;0.0000089;0.0024702;0.0000318;;;;;;0.000043;0.000029;0.000137;0.000034
50848;1998;02;04;;0.001233;0.000068;0.171945;0.000072;;0.1548125;0.0000057;0.0023855;0.0000318;;;;;;-0.000039;0.000028;0.000084;0.000033
50849;1998;02;05;;-0.002092;0.000067;0.172664;0.000070;;0.1523604;0.0000064;0.0023083;0.0000318;;;;;;-0.000159;0.000027;-0.000003;0.000032
50850;1998;02;06;;-0.005111;0.000065;0.173354;0.000069;;0.1499902;0.0000078;0.0021952;0.0000318;;;;;;-0.000174;0.000027;-0.000017;0.000031
50851;1998;02;07;;-0.007771;0.000064;0.174241;0.000067;;0.1478512;0.0000076;0.0021012;0.0000318;;;;;;-0.000131;0.000026;0.000012;0.000029
50852;1998;02;08;;-0.010074;0.000063;0.174913;0.000065;;0.1458220;0.0000082;0.0020653;0.0000319;;;;;;-0.000087;0.000025;0.000040;0.000028
50853;1998;02;09;;-0.012385;0.000061;0.175230;0.000063;;0.1438770;0.0000139;0.0020161;0.0000319;;;;;;-0.000043;0.000024;0.000069;0.000027
50854;1998;02;10;;-0.014994;0.000059;0.175478;0.000061;;0.1419733;0.0000195;0.0019692;0.0000320;;;;;;0.000001;0.000024;0.000098;0.000026
50855;1998;02;11;;-0.017939;0.000061;0.175419;0.000063;;0.1400542;0.0000098;0.0019391;0.0000320;;;;;;0.000013;0.000024;-0.000030;0.000026
50856;1998;02;12;;-0.020717;0.000062;0.175677;0.000065;;0.1381208;0.0000048;0.0019751;0.0000320;;;;;;0.000066;0.000024;-0.000048;0.000027
50857;1998;02;13;;-0.023310;0.000064;0.176367;0.000066;;0.1361643;0.0000019;0.0019941;0.0000320;;;;;;0.000135;0.000025;-0.000023;0.000027
50858;1998;02;14;;-0.025259;0.000065;0.176860;0.000068;;0.1340516;0.0000037;0.0020038;0.0000320;;;;;;0.000091;0.000025;-0.000021;0.000028
50859;1998;02;15;;-0.026921;0.000066;0.177397;0.000070;;0.1319703;0.0000060;0.0020109;0.0000320;;;;;;0.000047;0.000025;-0.000019;0.000028
50860;1998;02;16;;-0.028618;0.000067;0.178439;0.000071;;0.1299926;0.0000093;0.0019914;0.0000320;;;;;;0.000003;0.000026;-0.000018;0.000029
50861;1998;02;17;;-0.030214;0.000069;0.179923;0.000073;;0.1280816;0.0000098;0.0019383;0.0000319;;;;;;-0.000040;0.000026;-0.000016;0.000029
50862;1998;02;18;;-0.031973;0.000070;0.181328;0.000074;;0.1262870;0.0000057;0.0018570;0.0000319;;;;;;-0.000084;0.000027;-0.000014;0.000030
50863;1998;02;19;;-0.034576;0.000071;0.182819;0.000076;;0.1244388;0.0000113;0.0018041;0.0000319;;;;;;-0.000035;0.000027;-0.000022;0.000031
50864;1998;02;20;;-0.037826;0.000071;0.183915;0.000077;;0.1225792;0.0000138;0.0017855;0.0000318;;;;;;0.000047;0.000028;-0.000034;0.000031
50865;1998;02;21;;-0.041084;0.000072;0.185222;0.000078;;0.1207346;0.0000071;0.0017984;0.0000318;;;;;;0.000128;0.000028;-0.000046;0.000032
50866;1998;02;22;;-0.044801;0.000073;0.186182;0.000079;;0.1189086;0.0000052;0.0018325;0.0000318;;;;;;0.000209;0.000028;-0.000058;0.000032
50867;1998;02;23;;-0.048099;0.000073;0.186758;0.000080;;0.1170396;0.0000067;0.0018981;0.0000318;;;;;;0.000291;0.000029;-0.000070;0.000033
50868;1998;02;24;;-0.050846;0.000074;0.187748;0.000081;;0.1151231;0.0000064;0.0020222;0.0000318;;;;;;0.000372;0.000029;-0.000082;0.000034
50869;1998;02;25;;-0.053554;0.000075;0.188598;0.000082;;0.1131445;0.0000030;0.0021725;0.0000318;;;;;;0.000178;0.000030;-0.000046;0.000034
50870;1998;02;26;;-0.056042;0.000075;0.189294;0.000082;;0.1107916;0.0000039;0.0023095;0.0000318;;;;;;0.000094;0.000030;-0.000030;0.000034
50871;1998;02;27;;-0.057835;0.000076;0.190108;0.000083;;0.1082965;0.0000085;0.0024698;0.0000318;;;;;;0.000064;0.000031;-0.000023;0.000034
50872;1998;02;28;;-0.058790;0.000076;0.191394;0.000084;;0.1057682;0.0000137;0.0026225;0.0000318;;;;;;0.000035;0.000031;-0.000016;0.000034
50873;1998;03;01;;-0.059443;0.000077;0.193257;0.000084;;0.1031015;0.0000126;0.0026421;0.0000318;;;;;;0.000006;0.000031;-0.000009;0.000035
50874;1998;03;02;;-0.060469;0.000077;0.194993;0.000085;;0.1004568;0.0000093;0.0025796;0.0000318;;;;;;-0.000023;0.000032;-0.000002;0.000035
50875;1998;03;03;;-0.061969;0.000077;0.196835;0.000086;;0.0979608;0.0000063;0.0024253;0.0000318;;;;;;-0.000052;0.000032;0.000005;0.000035
50876;1998;03;04;;-0.063605;0.000078;0.198487;0.000086;;0.0957606;0.0000044;0.0022362;0.0000318;;;;;;-0.000081;0.000032;0.000012;0.000036
50877;1998;03;05;;-0.065250;0.000078;0.200477;0.000086;;0.0935220;0.0000095;0.0020786;0.0000317;;;;;;-0.000076;0.000033;0.000013;0.000036
50878;1998;03;06;;-0.066999;0.000078;0.202421;0.000087;;0.0914075;0.0000148;0.0019755;0.0000317;;;;;;-0.000058;0.000033;0.000012;0.000036
50879;1998;03;07;;-0.068484;0.000079;0.204288;0.000087;;0.0895427;0.0000124;0.0018985;0.0000316;;;;;;-0.000040;0.000034;0.000012;0.000037
50880;1998;03;08;;-0.070082;0.000079;0.206454;0.000088;;0.0877380;0.0000100;0.0018398;0.0000315;;;;;;-0.000022;0.000034;0.000011;0.000037
50881;1998;03;09;;-0.071742;0.000079;0.208520;0.000088;;0.0859343;0.0000077;0.0018206;0.0000314;;;;;;-0.000005;0.000035;0.000011;0.000037
50882;1998;03;10;;-0.073314;0.000079;0.210737;0.000088;;0.0840810;0.0000053;0.0018802;0.0000313;;;;;;0.000013;0.000035;0.000010;0.000037
50883;1998;03;11;;-0.074939;0.000079;0.212735;0.000088;;0.0821487;0.0000030;0.0019865;0.0000312;;;;;;0.000031;0.000035;0.000009;0.000038
50884;1998;03;12;;-0.076222;0.000080;0.214654;0.000089;;0.0801014;0.0000022;0.0020816;0.0000310;;;;;;-0.000015;0.000036;0.000030;0.000038
50885;1998;03;13;;-0.077282;0.000080;0.216663;0.000089;;0.0779311;0.0000029;0.0021268;0.0000308;;;;;;-0.000025;0.000036;0.000029;0.000039
50886;1998;03;14;;-0.078349;0.000080;0.218935;0.000089;;0.0757162;0.0000040;0.0021231;0.0000306;;;;;;-0.000015;0.000037;0.000016;0.000039
50887;1998;03;15;;-0.079974;0.000080;0.221082;0.000089;;0.0735368;0.0000049;0.0020962;0.0000304;;;;;;-0.000004;0.000037;0.000003;0.000039
