MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
52275;2002;01;01;;-0.176989;0.000093;0.294107;0.000074;;-0.1158581;0.0000101;0.0007910;0.0000328;;;;;;0.000174;0.000030;-0.000064;0.000035
52276;2002;01;02;;-0.177457;0.000093;0.297920;0.000074;;-0.1167317;0.0000099;0.0009331;0.0000328;;;;;;0.000158;0.000030;-0.000068;0.000034
52277;2002;01;03;;-0.178403;0.000093;0.301070;0.000074;;-0.1177654;0.0000090;0.0011236;0.0000329;;;;;;0.000141;0.000030;-0.000071;0.000034
52278;2002;01;04;;-0.179041;0.000092;0.303809;0.000073;;-0.1189180;0.0000051;0.0012984;0.0000330;;;;;;0.000124;0.000030;-0.000075;0.000034
52279;2002;01;05;;-0.179568;0.000092;0.306633;0.000073;;-0.1202473;0.0000038;0.0013289;0.0000331;;;;;;0.000133;0.000029;-0.000043;0.000034
52280;2002;01;06;;-0.179987;0.000092;0.309664;0.000073;;-0.1216143;0.0000035;0.0013249;0.0000332;;;;;;0.000151;0.000029;0.000002;0.000033
52281;2002;01;07;;-0.180604;0.000092;0.312922;0.000073;;-0.1228856;0.0000033;0.0012456;0.0000333;;;;;;0.000170;0.000028;0.000046;0.000033
52282;2002;01;08;;-0.181644;0.000092;0.315670;0.000073;;-0.1239677;0.0000030;0.0010045;0.0000334;;;;;;0.000188;0.000028;0.000091;0.000033
52283;2002;01;09;;-0.182807;0.000092;0.318387;0.000073;;-0.1248561;0.0000078;0.0007289;0.0000335;;;;;;0.000218;0.000028;0.000066;0.000032
52284;2002;01;10;;-0.183132;0.000092;0.321327;0.000073;;-0.1254810;0.0000115;0.0004812;0.0000336;;;;;;0.000250;0.000027;0.000023;0.000031
52285;2002;01;11;;-0.182964;0.000093;0.324311;0.000073;;-0.1258153;0.0000053;0.0002993;0.0000337;;;;;;0.000283;0.000027;-0.000020;0.000031
52286;2002;01;12;;-0.182737;0.000093;0.327567;0.000074;;-0.1259692;0.0000032;0.0001253;0.0000338;;;;;;0.000285;0.000026;-0.000058;0.000030
52287;2002;01;13;;-0.182301;0.000093;0.330647;0.000074;;-0.1260119;0.0000025;0.0000335;0.0000338;;;;;;0.000275;0.000026;-0.000094;0.000029
52288;2002;01;14;;-0.181602;0.000093;0.333659;0.000074;;-0.1260155;0.0000019;-0.0000293;0.0000338;;;;;;0.000266;0.000025;-0.000130;0.000029
52289;2002;01;15;;-0.181285;0.000093;0.336962;0.000074;;-0.1260456;0.0000013;0.0000178;0.0000338;;;;;;0.000256;0.000025;-0.000166;0.000028
52290;2002;01;16;;-0.180625;0.000093;0.339887;0.000074;;-0.1261215;0.0000085;0.0001231;0.0000338;;;;;;0.000244;0.000025;-0.000134;0.000028
52291;2002;01;17;;-0.179800;0.000093;0.343101;0.000074;;-0.1262971;0.0000177;0.0002286;0.0000337;;;;;;0.000230;0.000024;-0.000083;0.000027
52292;2002;01;18;;-0.179301;0.000093;0.346269;0.000074;;-0.1265846;0.0000075;0.0003543;0.0000337;;;;;;0.000202;0.000024;-0.000133;0.000028
52293;2002;01;19;;-0.178714;0.000093;0.349408;0.000074;;-0.1270203;0.0000027;0.0004853;0.0000337;;;;;;0.000203;0.000025;-0.000137;0.000028
52294;2002;01;20;;-0.178370;0.000093;0.352433;0.000074;;-0.1275548;0.0000023;0.0005452;0.0000336;;;;;;0.000217;0.000025;-0.000111;0.000028
52295;2002;01;21;;-0.178142;0.000094;0.355441;0.000075;;-0.1281383;0.0000019;0.0006079;0.0000335;;;;;;0.000231;0.000025;-0.000085;0.000029
52296;2002;01;22;;-0.177729;0.000094;0.358602;0.000075;;-0.1287333;0.0000015;0.0006050;0.0000334;;;;;;0.000245;0.000026;-0.000060;0.000029
52297;2002;01;23;;-0.177025;0.000094;0.362003;0.000075;;-0.1293023;0.0000011;0.0005659;0.0000334;;;;;;0.000259;0.000026;-0.000034;0.000030
52298;2002;01;24;;-0.176533;0.000094;0.365519;0.000075;;-0.1298272;0.0000014;0.0005044;0.0000334;;;;;;0.000183;0.000026;-0.000092;0.000030
52299;2002;01;25;;-0.175801;0.000094;0.368884;0.000075;;-0.1302786;0.0000018;0.0003755;0.0000334;;;;;;0.000083;0.000027;-0.000172;0.000031
52300;2002;01;26;;-0.174992;0.000094;0.372323;0.000075;;-0.1306254;0.0000018;0.0002929;0.0000335;;;;;;0.000072;0.000027;-0.000164;0.000031
52301;2002;01;27;;-0.174353;0.000094;0.375666;0.000076;;-0.1309415;0.0000017;0.0003237;0.0000335;;;;;;0.000093;0.000028;-0.000124;0.000032
52302;2002;01;28;;-0.173541;0.000094;0.378964;0.000076;;-0.1313295;0.0000016;0.0004697;0.0000335;;;;;;0.000114;0.000028;-0.000085;0.000032
52303;2002;01;29;;-0.172972;0.000095;0.382324;0.000076;;-0.1318943;0.0000014;0.0006946;0.0000335;;;;;;0.000136;0.000028;-0.000045;0.000033
52304;2002;01;30;;-0.172248;0.000095;0.385321;0.000076;;-0.1327265;0.0000018;0.0009775;0.0000335;;;;;;0.000141;0.000029;-0.000120;0.000033
52305;2002;01;31;;-0.170789;0.000095;0.388424;0.000076;;-0.1338323;0.0000028;0.0012448;0.0000334;;;;;;0.000142;0.000029;-0.000096;0.000034
52306;2002;02;01;;-0.168917;0.000095;0.391716;0.000076;;-0.1351711;0.0000041;0.0014143;0.0000334;;;;;;0.000143;0.000030;-0.000033;0.000035
52307;2002;02;02;;-0.167365;0.000095;0.394941;0.000076;;-0.1366707;0.0000041;0.0015050;0.0000334;;;;;;0.000145;0.000030;-0.000004;0.000036
52308;2002;02;03;;-0.166402;0.000095;0.398091;0.000076;;-0.1381758;0.0000038;0.0014504;0.0000333;;;;;;0.000148;0.000031;0.000013;0.000036
